Line	B-idx	Beta	It-idx	Energy	Acceptance~
0	0	2107.620401	0	-0.000353	0.1
1	0	2107.620401	1	-0.000543	0.2
2	0	2107.620401	2	-0.001416	0.3
3	0	2107.620401	3	-0.001794	0.4
4	0	2107.620401	4	-0.001962	0.5
5	0	2107.620401	5	-0.002235	0.6
6	0	2107.620401	6	-0.002310	0.7
7	0	2107.620401	7	-0.002987	0.8
8	0	2107.620401	8	-0.003206	0.9
9	0	2107.620401	9	-0.003393	1
10	1	2318.382442	0	-0.004000	0.1
11	1	2318.382442	1	-0.004823	0.2
12	1	2318.382442	2	-0.004981	0.3
13	1	2318.382442	3	-0.005711	0.4
14	1	2318.382442	4	-0.006629	0.5
15	1	2318.382442	5	-0.007122	0.6
16	1	2318.382442	6	-0.007729	0.7
17	1	2318.382442	7	-0.008256	0.8
18	1	2318.382442	8	-0.009097	0.9
19	1	2318.382442	9	-0.009994	1
20	2	2550.220686	0	-0.011004	0.1
21	2	2550.220686	1	-0.011004	0.2
22	2	2550.220686	2	-0.011430	0.3
23	2	2550.220686	3	-0.011846	0.4
24	2	2550.220686	4	-0.012831	0.5
25	2	2550.220686	5	-0.013837	0.6
26	2	2550.220686	6	-0.014378	0.7
27	2	2550.220686	7	-0.015229	0.8
28	2	2550.220686	8	-0.016193	0.9
29	2	2550.220686	9	-0.016793	1
30	3	2805.242754	0	-0.017470	0.1
31	3	2805.242754	1	-0.018214	0.2
32	3	2805.242754	2	-0.018214	0.3
33	3	2805.242754	3	-0.019006	0.4
34	3	2805.242754	4	-0.019941	0.5
35	3	2805.242754	5	-0.020500	0.6
36	3	2805.242754	6	-0.020762	0.7
37	3	2805.242754	7	-0.020949	0.8
38	3	2805.242754	8	-0.021722	0.9
39	3	2805.242754	9	-0.022720	1
40	4	3085.767030	0	-0.023710	0.1
41	4	3085.767030	1	-0.024276	0.2
42	4	3085.767030	2	-0.025191	0.3
43	4	3085.767030	3	-0.025715	0.4
44	4	3085.767030	4	-0.025763	0.5
45	4	3085.767030	5	-0.025764	0.6
46	4	3085.767030	6	-0.026164	0.7
47	4	3085.767030	7	-0.026214	0.8
48	4	3085.767030	8	-0.027080	0.9
49	4	3085.767030	9	-0.027754	1
50	5	3394.343733	0	-0.027770	0.1
51	5	3394.343733	1	-0.027770	0.2
52	5	3394.343733	2	-0.028467	0.3
53	5	3394.343733	3	-0.029691	0.4
54	5	3394.343733	4	-0.030674	0.5
55	5	3394.343733	5	-0.030760	0.6
56	5	3394.343733	6	-0.031922	0.7
57	5	3394.343733	7	-0.032438	0.8
58	5	3394.343733	8	-0.032728	0.9
59	5	3394.343733	9	-0.032728	1
60	6	3733.778106	0	-0.033461	0.1
61	6	3733.778106	1	-0.034302	0.2
62	6	3733.778106	2	-0.034302	0.3
63	6	3733.778106	3	-0.034792	0.4
64	6	3733.778106	4	-0.035487	0.5
65	6	3733.778106	5	-0.036783	0.6
66	6	3733.778106	6	-0.037702	0.7
67	6	3733.778106	7	-0.037702	0.8
68	6	3733.778106	8	-0.038220	0.9
69	6	3733.778106	9	-0.039075	1
70	7	4107.155917	0	-0.039768	0.1
71	7	4107.155917	1	-0.040913	0.2
72	7	4107.155917	2	-0.041819	0.3
73	7	4107.155917	3	-0.042528	0.4
74	7	4107.155917	4	-0.043600	0.5
75	7	4107.155917	5	-0.043812	0.6
76	7	4107.155917	6	-0.044312	0.7
77	7	4107.155917	7	-0.044312	0.7
78	7	4107.155917	8	-0.044787	0.8
79	7	4107.155917	9	-0.046042	0.9
80	8	4517.871508	0	-0.046538	0.1
81	8	4517.871508	1	-0.046585	0.2
82	8	4517.871508	2	-0.047108	0.3
83	8	4517.871508	3	-0.047108	0.4
84	8	4517.871508	4	-0.047795	0.5
85	8	4517.871508	5	-0.047795	0.6
86	8	4517.871508	6	-0.047795	0.7
87	8	4517.871508	7	-0.048430	0.8
88	8	4517.871508	8	-0.048430	0.9
89	8	4517.871508	9	-0.049113	1
90	9	4969.658659	0	-0.049596	0.1
91	9	4969.658659	1	-0.050647	0.2
92	9	4969.658659	2	-0.050647	0.3
93	9	4969.658659	3	-0.051341	0.4
94	9	4969.658659	4	-0.052367	0.5
95	9	4969.658659	5	-0.052367	0.6
96	9	4969.658659	6	-0.053451	0.7
97	9	4969.658659	7	-0.053451	0.8
98	9	4969.658659	8	-0.054172	0.9
99	9	4969.658659	9	-0.054548	1
