B-idx	It-idx	Energy	Acceptance~
0	0	-0.000903108	0.01
0	1	-0.00158643	0.02
0	2	-0.00204265	0.03
0	3	-0.00294087	0.04
0	4	-0.00295721	0.05
0	5	-0.00357019	0.06
0	6	-0.00385532	0.07
0	7	-0.00477121	0.08
0	8	-0.0053879	0.09
0	9	-0.00621689	0.1
0	10	-0.00667041	0.11
0	11	-0.0072274	0.12
0	12	-0.00736702	0.13
0	13	-0.00829471	0.14
0	14	-0.00879273	0.15
0	15	-0.00880022	0.16
0	16	-0.00943769	0.17
0	17	-0.0102717	0.18
0	18	-0.0112248	0.19
0	19	-0.0116531	0.2
0	20	-0.0122141	0.21
0	21	-0.0126671	0.22
0	22	-0.0135941	0.23
0	23	-0.013957	0.24
0	24	-0.0141698	0.25
0	25	-0.0148391	0.26
0	26	-0.0152503	0.27
0	27	-0.0161908	0.28
0	28	-0.0170752	0.29
0	29	-0.0176401	0.3
0	30	-0.0184904	0.31
0	31	-0.019081	0.32
0	32	-0.0199033	0.33
0	33	-0.019996	0.34
0	34	-0.0205515	0.35
0	35	-0.0208703	0.36
0	36	-0.0209075	0.37
0	37	-0.0211448	0.38
0	38	-0.0217132	0.39
0	39	-0.0219057	0.4
0	40	-0.021957	0.41
0	41	-0.0227314	0.42
0	42	-0.0234098	0.43
0	43	-0.023663	0.44
0	44	-0.0237336	0.45
0	45	-0.0237336	0.46
0	46	-0.0239431	0.47
0	47	-0.024534	0.48
0	48	-0.0254797	0.49
0	49	-0.0262549	0.5
0	50	-0.0267024	0.51
0	51	-0.0275178	0.52
0	52	-0.0276852	0.53
0	53	-0.0278928	0.54
0	54	-0.0288266	0.55
0	55	-0.0291843	0.56
0	56	-0.029645	0.57
0	57	-0.0297278	0.58
0	58	-0.0303111	0.59
0	59	-0.0303111	0.6
0	60	-0.0303111	0.61
0	61	-0.0303111	0.62
0	62	-0.030449	0.63
0	63	-0.0312999	0.64
0	64	-0.0312999	0.65
0	65	-0.0315702	0.66
0	66	-0.0321659	0.67
0	67	-0.032554	0.68
0	68	-0.0331314	0.69
0	69	-0.0331708	0.7
0	70	-0.0331708	0.71
0	71	-0.0334435	0.72
0	72	-0.0340539	0.73
0	73	-0.0340539	0.74
0	74	-0.034054	0.75
0	75	-0.0341422	0.76
0	76	-0.0346261	0.77
0	77	-0.0347402	0.78
0	78	-0.0355861	0.79
0	79	-0.0357859	0.8
0	80	-0.0360445	0.81
0	81	-0.0364262	0.82
0	82	-0.0367429	0.83
0	83	-0.0368964	0.84
0	84	-0.0371907	0.85
0	85	-0.0380436	0.86
0	86	-0.0383632	0.87
0	87	-0.0385955	0.88
0	88	-0.0385955	0.89
0	89	-0.0394096	0.9
0	90	-0.0396187	0.91
0	91	-0.0396187	0.92
0	92	-0.0398959	0.93
0	93	-0.0401397	0.94
0	94	-0.0407827	0.95
0	95	-0.0407827	0.96
0	96	-0.0407827	0.97
0	97	-0.041369	0.98
0	98	-0.0421364	0.99
0	99	-0.0421364	1
1	0	-0.0423335	0.01
1	1	-0.0427669	0.02
1	2	-0.0433553	0.03
1	3	-0.0433803	0.04
1	4	-0.0437909	0.05
1	5	-0.0437909	0.06
1	6	-0.0445161	0.07
1	7	-0.0445161	0.08
1	8	-0.044986	0.09
1	9	-0.0456654	0.1
1	10	-0.0457468	0.11
1	11	-0.0459486	0.12
1	12	-0.0460735	0.13
1	13	-0.046426	0.14
