g_val	t_val	c_val	l_val	s_val
1.2342	1.2768	1.2358	1.4035	1.5207
1.2756	1.1290	1.1361	1.3762	1.5941
1.9482	1.9220	1.7114	1.7363	1.9283
1.4929	1.1512	1.2857	1.3008	1.4661
0.1976	0.1910	0.3982	0.5337	0.6590
1.8556	1.8968	1.7020	1.6766	1.8220
0.9679	0.8006	0.8384	1.2428	1.4562
0.9998	0.9773	0.9935	1.2535	1.3672
1.4087	1.3980	1.3136	1.5621	1.7899
2.0106	1.7844	1.6350	1.4179	1.5083
1.4156	1.3254	1.2364	1.5653	1.6558
1.2043	1.2085	1.2456	1.1991	1.3326
1.2155	1.3068	1.2880	1.6424	1.7649
1.0052	0.9464	1.0682	1.1420	1.1386
1.6056	1.4449	1.4002	1.5247	1.6311
1.7578	1.8886	1.6861	1.9393	2.1346
1.4193	1.0853	1.2090	1.1943	1.3430
1.6693	1.5466	1.4004	1.1839	1.2420
0.4380	0.2814	0.4505	0.8787	1.0001
1.3907	1.3657	1.2258	1.4991	1.6753
1.1669	0.8663	0.9900	1.1685	1.3781
1.5405	1.5044	1.4064	1.1775	1.3266
1.6941	1.5554	1.5055	1.4736	1.6291
1.0073	1.0193	0.9722	1.2862	1.4237
1.6682	1.5526	1.4258	1.2385	1.3077
0.7899	0.9554	0.9348	1.3344	1.5875
1.1965	1.2179	1.1538	1.3291	1.4394
1.1163	0.9270	0.9503	1.2692	1.3900
1.2484	1.2153	1.1557	1.3298	1.4494
1.4775	1.1072	1.3150	1.3433	1.4963
0.9839	0.9918	0.9099	0.8650	1.0138
1.3515	1.1136	1.2250	1.4106	1.7217
1.5654	1.6791	1.4798	1.8096	1.9317
1.4121	1.5420	1.4119	1.6937	1.7848
1.4256	1.5101	1.2813	1.2520	1.4127
0.9307	0.8100	0.9518	1.3781	1.6841
1.0695	1.0827	0.9942	1.5015	1.6639
1.7956	1.7604	1.5965	1.5812	1.6617
1.2664	1.0212	1.0751	1.1815	1.3584
1.1867	1.0691	1.0238	1.3802	1.5698
1.7491	1.5176	1.5647	1.4620	1.6035
0.5790	0.5542	0.7762	0.8352	0.8241
1.1328	1.4057	1.2276	1.3137	1.4113
1.1837	1.0299	1.1100	1.2685	1.4654
1.5993	1.2588	1.3932	1.2386	1.3444
0.8041	0.7260	0.7535	0.9393	1.0671
1.3758	1.1313	1.2503	1.2095	1.3256
0.7664	0.8456	0.9282	0.9901	0.9524
2.0253	2.0986	1.7460	1.8967	2.1379
1.8192	1.8025	1.5977	1.5496	1.7455
0.4550	0.3457	0.4520	1.1301	1.4030
1.9131	1.9661	1.7518	1.4214	1.5910
0.8015	0.7454	0.7346	1.1264	1.3319
0.9893	0.8891	0.9890	1.0902	1.1822
1.6065	1.7326	1.5924	1.8761	2.0824
1.1636	1.0800	1.0688	1.1812	1.2424
1.8491	1.6261	1.5386	1.4741	1.5947
0.8348	0.7131	0.8719	1.1782	1.2623
1.4888	1.3834	1.3674	1.3917	1.4253
0.8572	0.7795	0.9332	1.3280	1.4412
1.3133	1.2230	1.2927	1.1413	1.1487
