g	pw80_20	pw80_08	pw82_08	pw84_08	pw88_08
1.856	1.218	1.813	1.108	1.048	1.131
0.968	1.066	0.967	1.052	0.938	0.970
1.000	1.486	1.186	1.029	0.750	0.646
1.409	1.440	1.269	1.204	1.171	1.228
2.011	1.448	1.306	1.083	1.012	1.069
1.416	1.191	1.120	1.101	1.034	1.026
1.204	1.053	0.885	0.753	0.624	0.582
1.215	1.456	1.210	1.140	1.077	1.012
1.005	1.738	1.906	1.344	1.181	0.876
1.606	1.104	1.148	1.071	0.997	0.956
1.758	1.222	1.191	1.223	1.214	1.212
1.419	1.293	1.171	1.074	0.993	0.924
1.669	1.061	1.036	1.062	1.001	0.912
0.438	0.985	0.622	0.691	0.517	0.457
1.391	1.287	1.194	1.220	1.157	1.085
1.167	1.076	0.975	0.936	0.879	0.875
1.540	1.213	1.139	1.063	0.956	0.836
1.694	1.358	1.242	1.036	1.005	1.041
1.007	2.577	3.489	1.964	0.931	1.498
1.668	0.835	0.823	0.873	0.841	0.849
0.790	0.922	1.157	1.103	1.018	0.845
1.196	2.988	4.241	2.786	1.536	1.228
1.116	1.113	1.063	0.960	0.897	0.902
1.248	1.109	1.868	1.120	1.029	1.048
1.477	1.241	1.158	1.170	1.113	1.079
0.984	0.703	0.670	0.653	0.604	0.616
1.352	1.269	1.177	1.149	1.085	1.097
1.565	2.305	2.682	1.517	0.968	1.504
1.412	2.137	1.431	1.386	1.174	1.155
1.426	0.911	0.912	0.900	0.867	0.854
0.931	1.090	1.055	1.079	1.034	0.987
1.069	3.071	4.119	2.226	0.976	1.511
1.796	1.148	1.350	1.295	1.189	1.044
1.266	1.156	0.963	0.862	0.802	0.780
1.187	1.139	0.996	1.124	1.007	1.042
1.749	1.493	2.216	1.755	1.544	1.239
0.579	0.823	0.667	0.834	0.845	0.672
1.133	1.274	0.948	1.040	0.968	1.104
1.184	0.973	1.202	1.207	0.980	1.015
1.599	1.360	1.244	1.101	1.043	1.035
0.804	0.679	0.880	0.823	0.749	0.644
1.376	1.306	1.779	1.349	1.181	0.998
0.766	0.908	1.083	0.993	0.808	0.510
2.025	1.389	1.411	1.401	1.357	1.390
1.819	1.129	1.168	1.196	1.124	1.163
0.455	1.206	1.640	1.387	1.003	0.613
1.913	1.199	1.089	1.104	1.056	1.120
0.801	1.059	1.076	0.989	0.887	0.728
0.989	1.117	0.762	0.663	0.653	0.634
1.606	1.164	1.183	1.280	1.238	1.284
1.164	1.089	1.383	1.267	0.930	0.760
1.849	1.214	1.222	1.150	1.114	1.118
0.835	1.878	2.423	1.742	1.334	0.898
1.489	1.136	1.226	1.197	1.162	1.133
0.857	1.010	0.979	0.908	0.826	0.777
1.313	1.227	0.991	0.915	0.784	0.749
1.339	1.138	1.265	1.313	1.270	1.250
1.000	2.767	3.612	2.290	1.121	1.531
1.689	1.153	1.022	1.004	0.951	1.032
0.789	0.922	0.760	0.701	0.676	0.660
1.210	1.309	1.210	1.181	1.146	1.185
1.930	1.717	2.057	1.689	1.524	1.783
1.232	1.127	1.104	1.078	1.033	0.972
1.566	1.254	1.302	1.109	1.088	1.144
1.484	1.317	1.294	1.214	1.232	1.288
1.311	1.348	1.217	1.111	1.042	0.927
1.770	1.935	1.468	1.300	1.139	1.085
1.794	1.461	1.475	1.424	1.329	1.401
-0.576	-0.380	-0.401	-0.619	-0.714	-1.049
0.951	0.994	0.691	0.660	0.692	0.625
0.728	1.166	1.126	0.926	0.770	0.653
1.669	1.418	1.447	1.299	1.202	1.161
0.845	1.296	1.126	1.030	0.941	0.867
1.163	1.121	1.035	1.043	1.014	0.941
1.208	1.250	1.232	1.264	1.076	1.080
1.609	1.183	1.115	1.122	1.050	1.080
1.580	2.377	2.113	1.719	1.453	1.142
1.169	0.982	1.072	0.930	0.785	0.754
1.802	1.664	1.792	1.526	1.296	1.212
0.586	0.466	0.705	0.708	0.517	0.480
1.118	1.192	0.962	0.877	0.839	0.823
1.933	2.180	2.047	1.788	1.616	1.293
0.181	0.700	0.647	0.568	0.484	0.326
1.119	1.187	1.378	1.258	0.947	0.520
1.350	1.095	1.106	1.051	1.030	1.008
1.792	2.108	1.587	1.122	1.009	1.032
1.591	1.260	1.239	1.233	1.117	1.088
1.578	1.720	1.714	1.370	1.348	1.274
1.591	1.179	1.192	1.123	1.056	1.060
1.570	1.108	1.051	1.070	1.030	1.082
1.175	0.958	1.052	1.059	1.049	1.051
0.679	0.972	1.064	1.034	0.832	0.889
1.460	1.036	1.010	1.087	1.077	1.149
1.791	1.351	1.350	1.212	1.162	1.131
1.066	2.228	1.922	1.357	1.376	1.005
1.278	1.810	2.622	1.833	1.517	1.134
1.357	3.115	3.552	2.143	1.337	1.002
0.735	0.866	0.871	0.887	0.844	0.789
1.681	1.342	1.358	1.253	1.068	1.047
1.370	0.920	0.885	0.897	0.888	0.820
1.525	1.975	1.349	1.421	1.439	1.252
0.763	1.021	1.524	1.438	1.097	0.986
1.096	1.357	1.525	1.390	1.173	0.985
