x	c_h	c_m	g_h	g_m	l_h	l_m	s_h	s_m	t_h	t_m
1.316	1.3710	1.4198	1.1274	1.1713	1.5618	0.9547	1.1582	0.5480	1.0642	0.8423
1.347	1.2875	1.3901	1.1440	1.2003	1.6162	0.7817	1.2088	0.5068	0.9978	0.8719
1.379	1.2008	1.3387	1.1403	1.1969	1.6269	0.6617	1.2644	0.4531	0.9403	0.8930
1.410	1.1206	1.2606	1.1081	1.1636	1.5899	0.5749	1.3269	0.3864	0.8926	0.9211
1.441	1.0462	1.1562	1.0527	1.1051	1.5184	0.4992	1.3898	0.3108	0.8509	0.9670
1.473	0.9741	1.0326	0.9866	1.0279	1.4313	0.4217	1.4426	0.2318	0.8134	1.0275
1.504	0.9020	0.9010	0.9207	0.9468	1.3371	0.3402	1.4752	0.1574	0.7789	1.0841
1.535	0.8267	0.7724	0.8603	0.8843	1.2302	0.2585	1.4810	0.0957	0.7434	1.1153
1.567	0.7425	0.6567	0.8042	0.8574	1.1032	0.1817	1.4591	0.0514	0.7020	1.1116
1.598	0.6467	0.5625	0.7499	0.8623	0.9600	0.1156	1.4150	0.0241	0.6535	1.0810
1.629	0.5462	0.4942	0.6990	0.8735	0.8148	0.0650	1.3570	0.0098	0.6032	1.0420
1.661	0.4542	0.4470	0.6549	0.8597	0.6813	0.0316	1.2893	0.0034	0.5587	1.0118
1.692	0.3794	0.4074	0.6168	0.8058	0.5637	0.0131	1.2087	0.0010	0.5232	0.9975
1.723	0.3196	0.3630	0.5785	0.7208	0.4602	0.0046	1.1074	0.0003	0.4926	0.9911
1.755	0.2660	0.3126	0.5350	0.6279	0.3720	0.0013	0.9806	0.0001	0.4597	0.9772
1.786	0.2125	0.2649	0.4868	0.5461	0.3056	0.0003	0.8325	0.0000	0.4212	0.9470
1.817	0.1601	0.2273	0.4390	0.4808	0.2654	0.0001	0.6768	0.0000	0.3798	0.9061
1.848	0.1130	0.1976	0.3951	0.4278	0.2451	0.0000	0.5306	0.0000	0.3394	0.8667
1.880	0.0746	0.1669	0.3540	0.3837	0.2301	0.0000	0.4059	0.0000	0.2999	0.8335
1.911	0.0457	0.1293	0.3117	0.3493	0.2069	0.0000	0.3076	0.0000	0.2568	0.7992
1.942	0.0256	0.0880	0.2661	0.3252	0.1715	0.0000	0.2360	0.0000	0.2078	0.7527
1.974	0.0129	0.0512	0.2189	0.3075	0.1297	0.0000	0.1907	0.0000	0.1568	0.6891
2.005	0.0057	0.0250	0.1733	0.2908	0.0905	0.0000	0.1698	0.0000	0.1118	0.6122
2.036	0.0022	0.0102	0.1318	0.2719	0.0599	0.0000	0.1679	0.0000	0.0790	0.5294
2.068	0.0007	0.0035	0.0950	0.2487	0.0390	0.0000	0.1753	0.0000	0.0585	0.4460
