x	c_h	c_m	g_h	g_m	l_h	l_m	s_h	s_m	t_h	t_m
0.379	0.0786	0.0444	0.1211	0.0354	0.0218	0.0183	0.0271	0.0054	0.1281	0.0186
0.429	0.1156	0.0344	0.1374	0.0196	0.0172	0.0123	0.0262	0.0121	0.1289	0.0130
0.480	0.1379	0.0207	0.1398	0.0081	0.0208	0.0057	0.0206	0.0182	0.1461	0.0061
0.530	0.1476	0.0093	0.1467	0.0024	0.0257	0.0025	0.0162	0.0183	0.1949	0.0020
0.581	0.1680	0.0030	0.1766	0.0006	0.0258	0.0038	0.0187	0.0124	0.2675	0.0011
0.631	0.2216	0.0009	0.2331	0.0008	0.0249	0.0099	0.0253	0.0056	0.3461	0.0030
0.682	0.3081	0.0011	0.3086	0.0029	0.0320	0.0205	0.0295	0.0017	0.4101	0.0082
0.732	0.4006	0.0038	0.3821	0.0082	0.0530	0.0332	0.0314	0.0003	0.4419	0.0153
0.783	0.4658	0.0096	0.4229	0.0153	0.0926	0.0444	0.0369	0.0001	0.4520	0.0192
0.833	0.4988	0.0165	0.4222	0.0192	0.1566	0.0497	0.0506	0.0000	0.4809	0.0161
0.884	0.5343	0.0191	0.4184	0.0161	0.2519	0.0469	0.0794	0.0003	0.5532	0.0091
0.934	0.6130	0.0149	0.4644	0.0091	0.3847	0.0413	0.1334	0.0018	0.6503	0.0034
0.985	0.7448	0.0081	0.5711	0.0035	0.5509	0.0413	0.2167	0.0070	0.7414	0.0009
1.035	0.9157	0.0046	0.7075	0.0011	0.7329	0.0509	0.3295	0.0184	0.8207	0.0006
1.086	1.1010	0.0066	0.8457	0.0015	0.9151	0.0665	0.4763	0.0329	0.9022	0.0023
1.136	1.2651	0.0129	0.9686	0.0047	1.0862	0.0747	0.6524	0.0417	0.9962	0.0068
1.187	1.3796	0.0185	1.0534	0.0111	1.2338	0.0639	0.8317	0.0425	1.0895	0.0138
1.237	1.4304	0.0179	1.0928	0.0176	1.3625	0.0402	0.9851	0.0456	1.1366	0.0189
1.288	1.4033	0.0117	1.1136	0.0187	1.4849	0.0211	1.1020	0.0585	1.1043	0.0173
1.338	1.3055	0.0051	1.1298	0.0134	1.5767	0.0155	1.1952	0.0742	1.0190	0.0106
1.389	1.1778	0.0015	1.1140	0.0064	1.5884	0.0183	1.2867	0.0800	0.9301	0.0044
1.439	1.0529	0.0003	1.0478	0.0021	1.5091	0.0190	1.3787	0.0716	0.8568	0.0012
1.490	0.9332	0.0000	0.9516	0.0004	1.3721	0.0139	1.4459	0.0555	0.7948	0.0002
1.540	0.8074	0.0000	0.8539	0.0001	1.1979	0.0069	1.4597	0.0416	0.7332	0.0000
1.591	0.6653	0.0000	0.7645	0.0000	0.9893	0.0023	1.4140	0.0336	0.6630	0.0000
1.641	0.5172	0.0000	0.6855	0.0000	0.7706	0.0005	1.3229	0.0291	0.5897	0.0000
1.692	0.3895	0.0000	0.6168	0.0000	0.5750	0.0001	1.1935	0.0240	0.5263	0.0000
1.742	0.2890	0.0000	0.5494	0.0000	0.4187	0.0000	1.0163	0.0160	0.4703	0.0000
1.793	0.2024	0.0000	0.4765	0.0000	0.3118	0.0000	0.7949	0.0078	0.4105	0.0000
1.843	0.1259	0.0000	0.4037	0.0000	0.2535	0.0000	0.5668	0.0026	0.3459	0.0000
1.894	0.0673	0.0000	0.3339	0.0000	0.2146	0.0000	0.3780	0.0006	0.2780	0.0000
1.944	0.0300	0.0000	0.2623	0.0000	0.1651	0.0000	0.2520	0.0001	0.2041	0.0000
1.995	0.0108	0.0000	0.1900	0.0000	0.1069	0.0000	0.1895	0.0000	0.1324	0.0000
2.045	0.0030	0.0000	0.1243	0.0000	0.0594	0.0000	0.1739	0.0000	0.0799	0.0000
2.096	0.0006	0.0000	0.0710	0.0000	0.0301	0.0000	0.1721	0.0000	0.0502	0.0000
2.146	0.0001	0.0000	0.0334	0.0000	0.0141	0.0000	0.1522	0.0000	0.0338	0.0000
2.197	0.0000	0.0000	0.0122	0.0000	0.0056	0.0000	0.1086	0.0000	0.0238	0.0000
2.247	0.0000	0.0000	0.0033	0.0000	0.0017	0.0000	0.0610	0.0000	0.0175	0.0000
2.298	0.0000	0.0000	0.0006	0.0000	0.0004	0.0000	0.0273	0.0000	0.0120	0.0000
2.348	0.0000	0.0000	0.0001	0.0000	0.0001	0.0000	0.0099	0.0000	0.0065	0.0000
2.399	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0028	0.0000	0.0025	0.0000
2.449	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0007	0.0000
2.500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0001	0.0000
