tag	g_val	t_val	c_val	l_val	s_val
-1	1.355979	1.396783	1.191592	1.019712	0.911315
-1	1.010153	1.208083	0.860001	1.076518	1.126155
-1	1.702758	1.979227	1.560434	1.053775	0.851045
-1	1.424920	1.710999	1.274997	1.187510	1.089108
-1	1.552156	1.761154	1.377484	1.160951	0.975184
1	1.425706	1.273284	1.325100	1.529678	1.724325
1	1.544757	1.587235	1.439234	1.346592	1.405286
1	1.185031	1.084875	1.168275	1.262722	1.325240
-1	1.504823	1.751176	1.386676	0.898127	0.835361
1	-1.152307	-1.527522	-0.899118	0.293909	0.439071
1	1.358036	1.219592	1.325710	1.422474	1.637093
-1	1.701070	1.997176	1.408077	1.018347	0.968764
-1	1.319106	1.503631	1.232451	0.948381	0.908831
1	0.375504	0.301007	0.422586	0.851952	1.018957
-1	1.632542	1.880124	1.414190	1.417963	1.376024
1	0.602597	0.700418	0.692188	1.320414	1.683723
-1	0.366768	0.515016	0.460148	0.757197	0.647826
1	0.824108	0.495180	0.679850	0.712859	0.816679
1	1.244220	1.102936	1.160385	1.389403	1.578886
-1	1.583091	1.637447	1.323976	1.260187	1.142493
-1	1.293207	1.422995	1.264511	1.069706	0.967495
1	1.449811	1.182580	1.311129	1.503403	1.630149
1	1.687488	1.762019	1.613015	1.389030	1.527074
1	1.438838	1.254350	1.268952	1.362465	1.611987
-1	-0.267942	-0.060952	-0.289728	-0.850981	-1.139428
1	0.810208	0.727947	0.877405	1.134504	1.232772
1	1.234792	1.292553	1.238312	1.915960	2.248474
1	1.480332	1.595685	1.339373	1.438994	1.538015
1	1.084997	1.190203	1.052296	1.049897	1.104826
1	1.309686	1.372296	1.303010	1.456772	1.554776
1	1.489647	1.267339	1.272362	1.442642	1.558472
-1	1.219902	1.379869	1.100923	0.906836	0.813172
-1	1.414501	1.549326	1.300077	1.128261	1.034862
1	1.448021	1.374201	1.326110	1.396904	1.577808
-1	0.929901	1.291180	0.956598	1.230870	1.061767
1	1.471264	1.481649	1.300741	1.556993	1.789725
1	1.062458	1.077777	1.035137	1.268223	1.450519
1	0.641022	0.599412	0.715727	0.948272	1.024861
-1	1.046711	1.285592	1.034379	1.158691	0.972655
-1	1.345283	1.587149	1.178411	0.995293	0.774418
-1	1.773090	1.794527	1.448671	1.121603	0.966709
1	1.053127	0.871321	1.016705	1.094461	1.265448
1	0.999167	1.043520	1.115016	1.196109	1.277128
-1	1.572220	1.746753	1.350235	1.210090	1.107353
-1	1.448367	1.774850	1.242850	1.014228	0.827728
-1	1.190824	1.381104	1.060189	1.359908	1.322684
-1	1.286041	1.405527	1.150770	1.147434	1.099290
-1	1.131151	1.230757	1.048298	0.999025	0.945363
1	1.214670	1.009453	1.098814	1.227921	1.500399
-1	0.320369	0.487136	0.356557	0.839749	0.719229
-1	0.681212	0.793090	0.765903	1.006190	0.918913
1	1.792087	1.602731	1.575060	1.606770	1.754988
-1	1.342153	1.481781	1.222342	1.041374	0.925490
-1	0.696500	0.981148	0.676978	0.757739	0.527292
1	1.563530	1.617423	1.428469	1.654390	1.887154
1	1.126170	1.287231	1.097179	1.222471	1.275055
-1	1.473802	1.741547	1.347530	1.074194	0.938217
1	1.132213	1.152239	1.077261	1.067664	1.158735
1	1.654133	1.395542	1.339731	1.374571	1.446662
1	1.699124	1.724917	1.457463	1.417434	1.516918
-1	1.276262	1.628510	1.086006	1.044825	0.872322
-1	1.111839	1.588807	1.044129	1.133016	0.932873
1	1.029365	1.083735	1.147594	1.380929	1.436646
-1	1.937943	2.108344	1.716071	1.325378	1.174363
1	0.980334	0.989390	0.995911	1.163272	1.261078
1	-0.348984	-0.546076	-0.101435	0.308299	0.398428
1	1.253048	1.101463	1.212740	1.280922	1.518632
1	1.532005	1.311779	1.376338	1.322087	1.399561
1	1.682140	1.793672	1.580304	1.855584	2.047870
-1	1.428467	1.673905	1.332628	1.232632	1.121537
1	0.632044	0.625483	0.683219	1.266310	1.391251
-1	1.415129	1.498576	1.297986	1.397898	1.293610
1	1.155887	0.982320	1.095702	1.175796	1.229981
-1	1.270499	1.613736	1.204744	1.032575	0.912910
1	1.435997	1.483996	1.401836	1.686780	1.780905
1	1.431167	1.203525	1.203055	1.158157	1.275645
1	1.046519	0.977226	0.997061	1.188628	1.235727
1	1.452953	1.251766	1.335989	1.317742	1.443572
1	1.501820	1.362975	1.275155	1.370824	1.458492
1	1.657254	1.418289	1.383166	1.391941	1.547682
1	0.739828	0.669527	0.766999	1.144695	1.337291
1	1.559214	1.646930	1.586636	1.585701	1.738752
1	1.353060	1.423273	1.405874	1.529508	1.618333
1	1.499746	1.587040	1.458194	1.351736	1.435682
1	1.602467	1.591922	1.488895	1.748234	1.863752
1	0.827539	0.772311	0.820414	1.030072	1.157667
1	1.348208	1.255340	1.243063	1.181454	1.294800
-1	2.083258	2.348652	1.877715	1.481675	1.452000
1	1.234158	1.276774	1.235771	1.403530	1.520724
1	1.275554	1.129025	1.136072	1.376231	1.594095
1	1.948195	1.922022	1.711407	1.736283	1.928262
1	1.492948	1.151204	1.285653	1.300790	1.466088
-1	1.309264	1.529898	1.191033	0.871753	0.736410
-1	1.115105	1.367589	1.104095	0.776764	0.648132
1	0.197628	0.191030	0.398200	0.533650	0.659039
1	1.855629	1.896831	1.701980	1.676607	1.821953
-1	1.232394	1.568805	1.219808	1.161222	1.047623
1	0.967900	0.800630	0.838445	1.242850	1.456178
-1	1.654543	1.924902	1.449393	1.212961	1.147883
1	0.999756	0.977283	0.993541	1.253450	1.367174
1	1.408736	1.397990	1.313595	1.562097	1.789863
-1	1.575193	1.816618	1.424878	1.254406	1.070456
-1	1.210515	1.464377	1.152640	1.188514	1.035990
1	2.010579	1.784427	1.635046	1.417923	1.508260
1	1.415582	1.325380	1.236441	1.565322	1.655826
1	1.204343	1.208513	1.245565	1.199056	1.332624
1	1.215478	1.306766	1.287963	1.642448	1.764947
1	1.005230	0.946415	1.068184	1.142036	1.138632
-1	1.546323	1.741078	1.406737	0.995618	0.941902
-1	0.222615	0.135318	-0.078586	-1.163674	-1.413707
1	1.605587	1.444892	1.400186	1.524734	1.631121
-1	1.667452	1.744137	1.521074	1.277181	1.107093
-1	1.972751	2.269823	1.728046	1.350847	1.241777
1	1.757767	1.888573	1.686142	1.939293	2.134585
1	1.419307	1.085280	1.209045	1.194329	1.342995
1	1.669265	1.546596	1.400445	1.183910	1.242035
-1	2.001483	2.245377	1.732596	1.197411	0.994607
1	0.437957	0.281384	0.450521	0.878722	1.000145
-1	1.345322	1.488772	1.178325	1.126539	1.019290
1	1.390688	1.365730	1.225774	1.499064	1.675323
-1	1.387556	1.570740	1.271853	1.025616	0.928204
-1	1.334289	1.572416	1.186698	1.019786	0.948827
1	1.166853	0.866303	0.990001	1.168510	1.378111
1	1.540480	1.504449	1.406408	1.177495	1.326569
1	1.694127	1.555355	1.505503	1.473621	1.629073
-1	1.306439	1.626611	1.296893	1.212132	1.125527
-1	1.631398	1.772479	1.455373	1.440065	1.428672
-1	0.629785	0.477918	0.551114	-0.731446	-1.126370
-1	1.476381	1.748742	1.342863	1.104504	0.941953
-1	1.133591	1.271784	1.001175	1.072947	1.046811
-1	1.249344	1.299713	1.111512	0.866741	0.811682
