tag	g_val	t_val	c_val	l_val	s_val
-1	1.433314	1.897647	1.440341	1.204029	1.090263
-1	1.389891	1.632873	1.401729	1.287167	1.155386
-1	1.085626	1.282607	0.973830	0.846805	0.694768
1	1.357497	1.403852	1.309914	1.428723	1.548261
1	1.151783	1.083894	1.122091	1.218095	1.353262
1	0.703555	0.832484	0.845418	1.301286	1.305423
1	1.417115	1.301693	1.361171	1.437544	1.673514
1	0.650068	0.632150	0.767995	1.075804	1.200568
1	1.161627	1.092816	1.170671	1.495431	1.820375
1	0.818866	0.696860	0.840622	1.095244	1.264907
1	1.447730	1.275647	1.290209	1.384275	1.563759
1	1.262192	1.199250	1.212998	1.291226	1.432460
1	1.691747	1.774709	1.614065	1.344969	1.494013
1	1.861048	1.905005	1.718536	1.739338	1.790040
-1	0.253893	0.498785	0.241155	0.721198	0.552216
-1	-0.059287	0.264643	0.155841	0.810413	0.699886
-1	1.609203	1.895636	1.487810	1.267975	1.119074
-1	1.361942	1.552909	1.173348	1.175499	1.031172
1	1.490328	1.352325	1.328205	1.383087	1.529497
1	1.600966	1.492029	1.473503	1.815345	1.929885
1	0.702870	0.609949	0.748174	1.069970	1.207757
1	1.362163	1.266558	1.299450	1.187472	1.226474
1	1.195400	1.197668	1.137615	1.395233	1.642626
-1	1.189018	1.383612	1.078475	1.203425	1.113146
-1	1.281177	1.428105	1.307587	1.191273	1.098900
-1	1.537824	1.869988	1.426841	1.057740	0.879703
1	1.641684	1.388228	1.493932	1.518030	1.655858
1	1.713122	1.552488	1.491368	1.632318	1.764676
1	1.066875	1.051957	1.039982	1.169482	1.420943
1	1.538098	1.443988	1.379162	1.710393	1.797355
1	1.232964	1.102814	1.129065	1.345266	1.566346
-1	1.116020	0.962412	1.091548	1.112287	1.065708
-1	1.087622	1.248809	0.974991	0.813649	0.630653
-1	1.235180	1.474905	1.147177	1.072227	0.978318
1	1.229743	1.219802	1.129749	1.408730	1.554085
1	1.001050	0.964429	1.073471	1.361442	1.485873
1	1.387693	1.265673	1.338554	1.464820	1.686332
1	1.462550	1.358615	1.334621	1.515195	1.729247
1	0.409764	0.260543	0.448929	0.840691	1.031535
1	1.534296	1.520053	1.430110	1.747121	1.869609
1	1.089270	0.898374	1.026913	1.081279	1.237969
1	1.459577	1.442691	1.420491	1.510781	1.616643
-1	-0.281794	-0.358850	-0.345741	-0.353837	-0.505793
-1	1.676377	1.802743	1.454593	1.313534	1.177868
1	1.639751	1.606145	1.414621	1.615954	1.877137
1	1.191154	1.192061	1.160593	1.351527	1.474083
1	1.338180	1.241925	1.251752	1.305494	1.425685
-1	1.657812	1.613595	1.452210	1.185621	1.047581
1	1.378299	1.221531	1.278401	1.566681	1.626910
-1	1.121717	1.288039	1.056088	0.970329	0.879758
1	0.966363	0.963240	0.972867	0.998977	0.995679
1	1.375431	1.300813	1.309805	1.532523	1.752420
-1	-1.270398	-1.251431	-1.208064	-1.425715	-1.557229
-1	0.813355	1.016647	0.775585	0.984431	0.876972
1	1.073010	1.004600	1.014326	1.314013	1.421085
-1	1.347246	1.548592	1.191502	0.786782	0.693344
1	0.763366	0.662410	0.832143	1.080259	1.183289
1	1.125478	1.081596	1.203389	1.557916	1.673142
1	1.866678	1.954549	1.747235	1.723384	1.852711
1	1.489875	1.604648	1.410639	1.482252	1.562846
-1	1.849893	2.028980	1.597697	1.251586	1.139120
-1	1.684861	1.812111	1.411555	1.198494	1.090227
1	0.991230	0.961842	0.979524	1.147355	1.259690
1	1.174632	1.126628	1.078484	1.259983	1.426165
1	1.385193	1.374351	1.348608	1.426670	1.470619
-1	1.518372	1.682983	1.356268	0.999919	0.928995
-1	0.317554	0.525312	0.292948	-0.841601	-1.299859
-1	1.607779	1.785139	1.372965	1.153005	1.084648
-1	1.636146	1.747385	1.324130	1.061838	0.928992
-1	1.388561	1.696473	1.346588	1.032531	0.916661
1	1.081466	1.235290	1.101857	1.161043	1.208647
1	1.329882	0.939408	1.128846	1.100099	1.123763
1	1.461758	1.360244	1.291517	1.487427	1.642779
1	0.903708	0.863950	0.892334	1.377950	1.555597
-1	1.851341	2.050447	1.671490	1.404636	1.302054
1	1.723538	1.582203	1.475088	1.547171	1.688739
-1	1.481865	1.609830	1.378131	1.154188	1.059107
-1	1.005695	1.167121	0.934263	0.969941	0.881048
-1	1.149394	1.366716	1.084960	1.124691	1.012774
1	1.220230	1.290780	1.274776	1.408123	1.557621
-1	1.294166	1.627449	1.170810	1.004365	0.914336
1	1.337044	1.241919	1.324601	1.249923	1.248891
1	1.208090	1.124993	1.162042	1.509080	1.648959
-1	1.434903	1.683580	1.279160	1.090369	0.985815
1	1.338622	1.241472	1.280243	1.492159	1.753817
-1	1.772399	1.976438	1.458746	1.132211	0.917906
1	1.278379	1.376127	1.321890	1.437119	1.556179
-1	1.519772	1.791339	1.367896	1.161739	1.036832
1	1.356579	1.158444	1.253616	1.310500	1.413484
1	1.444171	1.427085	1.481612	1.603781	1.645573
-1	1.641491	1.800715	1.456381	1.217173	1.080366
1	1.754323	1.855052	1.638308	1.631593	1.747168
-1	1.723131	1.866880	1.470825	1.109567	0.945295
-1	1.143183	1.282352	1.076128	1.098268	1.061741
1	0.776737	0.776274	0.889251	1.431215	1.623826
1	1.876950	1.766864	1.566435	1.326281	1.381773
-1	1.122644	1.382410	1.111152	1.401866	1.301112
1	1.453343	1.412189	1.325154	1.508727	1.708866
-1	0.992589	1.254288	0.844679	0.918109	0.924505
-1	1.536118	1.805929	1.326137	1.132126	0.999519
-1	1.410560	1.601603	1.215195	1.082973	0.933802
-1	0.570273	0.711430	0.622943	0.973984	0.865161
-1	1.712962	1.951098	1.548589	1.151289	0.906654
-1	-0.836749	-0.786022	-0.876965	-1.134434	-1.386637
1	0.406026	0.354607	0.462039	1.179729	1.533424
1	1.354616	1.184380	1.166642	1.176517	1.318370
1	1.599328	1.686829	1.442158	1.461501	1.519291
1	1.137929	1.119933	1.102027	1.353574	1.511306
-1	0.690843	0.998991	0.688536	0.911751	0.914381
-1	0.915618	1.281280	0.867586	1.008494	0.968232
1	1.200240	1.127067	1.175101	1.385630	1.642607
1	0.434969	0.394217	0.529514	1.009159	1.180515
1	1.877888	1.789462	1.707607	1.685856	1.762072
-1	-0.362916	0.181858	-0.422922	1.107078	1.034154
1	1.927301	1.686530	1.571432	1.563431	1.680171
1	0.632024	0.563756	0.659212	1.106279	1.222282
-1	0.640441	0.900176	0.598443	0.556975	0.417057
1	1.538629	1.696457	1.575196	1.876467	2.146856
-1	1.343762	1.324201	1.122909	1.034018	0.936627
1	1.639123	1.428739	1.451652	1.483839	1.660065
1	1.333355	1.402914	1.255842	1.337539	1.469165
1	1.140453	1.127493	1.230745	1.379627	1.417892
-1	1.353034	1.462788	1.199782	1.062131	0.961751
1	1.266690	1.219926	1.254372	1.164961	1.260319
1	1.226605	1.158584	1.138906	1.403886	1.545596
1	0.804868	0.852746	0.816485	0.930812	1.038937
-1	1.460297	1.688496	1.298752	1.224205	1.171396
1	1.054447	0.885372	1.037461	1.132279	1.294108
-1	1.000774	1.360508	0.916003	0.740704	0.597254
-1	1.249461	1.424268	1.059155	1.108992	0.973275
1	1.425961	1.389288	1.384749	1.594945	1.790138
-1	1.782663	1.975160	1.504332	1.037282	0.969765
1	1.279934	1.223686	1.228717	1.177416	1.339534
1	1.375003	1.086244	1.246440	1.463484	1.588913
1	1.983969	1.895634	1.724379	1.695823	1.868612
1	0.741051	0.722466	0.747999	1.136525	1.310730
1	0.745305	0.482742	0.751446	1.032934	1.244849
1	1.525122	1.579022	1.476580	1.614447	1.781689
-1	1.853401	1.993069	1.563280	1.196788	1.077633
-1	2.008227	2.278321	1.757099	1.250421	1.192307
1	1.211883	1.238388	1.167369	1.381624	1.531999
-1	2.085009	2.418118	1.886864	1.402033	1.367999
1	0.430564	0.551186	0.592100	1.042542	1.148391
1	1.293817	1.210256	1.173688	1.621012	1.770687
-1	1.574567	2.007867	1.512274	1.302195	1.221986
1	0.740976	0.728510	0.817853	1.016280	1.147690
1	1.371222	1.345828	1.253639	1.305778	1.469026
1	1.303417	1.180755	1.145304	1.192164	1.401233
1	1.890022	1.605169	1.572000	1.565917	1.677671
1	0.999318	0.949820	0.944569	1.007902	1.160269
1	1.753790	1.694164	1.546073	1.432490	1.541894
1	1.085320	0.902808	1.130492	1.152223	1.282617
-1	1.443039	1.698636	1.294528	1.201117	1.105076
1	1.062488	1.092719	1.153587	1.409832	1.502871
1	1.712357	1.787727	1.553280	1.525405	1.711390
1	1.217696	1.283689	1.261997	1.192229	1.310434
-1	1.064356	1.211311	0.917604	1.081930	0.993791
1	1.550227	1.556929	1.399955	1.707922	1.859442
-1	1.259487	1.277257	1.143632	0.979114	0.911032
-1	0.776761	0.952569	0.657265	0.678403	0.646392
1	1.762530	1.509957	1.536572	1.633302	1.752122
-1	1.476889	1.572985	1.263279	1.074179	0.997637
-1	1.316183	1.570786	1.177005	1.161922	1.067854
