g	pw80_20	pw80_08	pw82_08	pw84_08	pw88_08
-1.981	-1.341	-1.726	-1.276	-1.129	-1.088
-1.356	-0.848	-1.037	-0.998	-0.912	-1.077
-1.643	-1.234	-1.216	-1.116	-1.085	-1.142
-2.157	-1.212	-1.266	-1.199	-1.265	-1.345
-2.099	-1.370	-1.269	-1.045	-1.113	-1.276
-1.347	-1.123	-1.081	-1.110	-1.066	-1.032
-1.483	-1.135	-1.355	-1.213	-1.128	-0.977
-1.212	-0.872	-0.931	-0.891	-1.037	-1.062
-1.116	-1.176	-0.926	-0.928	-1.128	-1.270
-1.398	-1.203	-0.930	-0.788	-0.891	-0.945
-1.119	-1.159	-0.966	-1.057	-0.997	-0.974
-1.031	-1.425	-1.443	-1.491	-1.375	-1.475
-2.094	-1.515	-1.240	-1.214	-1.156	-1.283
-1.531	-0.921	-0.928	-0.740	-0.680	-0.768
-1.747	-0.798	-1.145	-1.169	-1.144	-1.163
-1.122	-1.131	-1.267	-1.054	-1.075	-2.088
-1.298	-1.233	-1.264	-1.158	-1.120	-1.145
-1.693	-1.287	-1.397	-1.439	-1.364	-1.000
-0.905	1.294	2.103	0.946	0.363	-0.964
-1.565	-1.274	-1.173	-0.757	-0.849	-1.114
-1.271	-1.191	-1.481	-1.549	-1.502	-1.274
-1.106	-1.420	-2.305	-1.523	-1.171	-0.392
-1.235	-0.962	-0.893	-0.951	-0.920	-0.936
-1.104	-0.837	-1.038	-1.018	-0.981	-1.070
-1.941	-1.450	-1.530	-1.203	-1.219	-1.313
-1.289	-1.247	-1.219	-1.015	-0.947	-0.787
-1.447	-1.336	-1.265	-1.575	-1.348	-1.167
-1.705	-1.589	-1.926	-1.646	-1.520	-1.363
-1.478	-0.928	-0.979	-0.848	-0.761	-0.851
-1.301	-1.037	-1.251	-1.175	-1.079	-0.969
-0.935	-1.019	-1.015	-0.765	-0.667	-0.730
-0.613	-0.446	-0.389	-0.384	-0.438	-0.473
