g_val	t_val	c_val	l_val	s_val
1.2713	1.4446	1.0823	1.2256	1.1553
1.1062	1.1875	1.1120	0.9880	0.8213
1.2346	1.3098	1.0763	1.1666	1.2147
1.1044	1.2700	0.9510	1.1492	1.0873
1.9405	1.9936	1.6237	1.3022	1.1868
1.2894	1.3607	1.1346	0.9289	0.7832
1.4467	1.5167	1.2639	0.9901	0.8557
1.7048	1.7231	1.5192	1.2456	1.1016
1.4785	1.5962	1.3261	1.0672	0.9345
1.3009	1.0332	1.1121	0.8791	0.8398
0.9350	1.2130	0.9860	0.9117	0.7659
0.6127	0.7691	0.4801	0.8062	0.8196
1.4956	1.7936	1.3218	1.0714	0.9710
1.7059	1.9187	1.5167	1.4059	1.3170
1.6105	1.6965	1.4594	1.2387	1.1029
1.0092	1.1297	0.9636	0.9149	0.8680
1.1726	1.4916	1.0171	0.7122	0.4649
1.3182	1.4038	1.2338	1.0270	0.8821
1.0699	1.2153	0.9723	0.9299	0.8697
1.6073	1.9195	1.4510	1.1470	1.0698
1.6878	2.0604	1.5126	1.2524	1.0759
1.7635	1.9609	1.6130	1.2152	1.0336
1.3810	1.8689	1.3304	1.1201	0.9364
1.1209	1.4901	1.1280	1.0227	0.7989
1.7024	1.8608	1.4092	0.9875	0.7732
0.7652	0.8091	0.6684	-0.9843	-1.4462
1.5095	1.9564	1.4096	1.1825	1.1065
1.8770	1.9922	1.5831	1.2839	1.2247
1.6373	1.8650	1.3937	1.2227	1.1138
1.1018	1.2027	0.9414	0.8561	0.7507
1.4308	1.5052	1.2722	1.0017	0.9386
1.7802	1.8991	1.4824	1.2084	1.1393
1.6313	1.9670	1.3779	1.0679	0.9383
1.3023	1.4683	1.2294	1.0271	0.8630
1.7377	1.9946	1.5679	1.2795	1.1133
1.1227	1.5213	1.0979	1.0888	0.9020
1.2112	1.3797	1.0932	1.0910	1.0574
1.2963	1.6125	1.1610	1.2039	1.1411
1.0171	1.2069	0.8461	0.9563	0.8961
1.3426	1.7448	1.3336	1.3846	1.2944
1.1264	1.2738	0.9051	1.0802	1.0541
1.1272	0.9563	1.1310	1.0042	0.8909
1.3190	1.5489	1.2225	0.9772	0.8592
0.2228	0.2521	0.0594	-1.1730	-1.6837
