Line	B-idx	Beta	It-idx	Energy	Acceptance~
0	0	1930.502686	0	-0.000060	0.1
1	0	1930.502686	1	-0.000730	0.2
2	0	1930.502686	2	-0.000895	0.3
3	0	1930.502686	3	-0.001024	0.4
4	0	1930.502686	4	-0.001842	0.5
5	0	1930.502686	5	-0.002797	0.6
6	0	1930.502686	6	-0.003706	0.7
7	0	1930.502686	7	-0.003928	0.8
8	0	1930.502686	8	-0.004721	0.9
9	0	1930.502686	9	-0.005050	1
10	1	2123.552955	0	-0.005883	0.1
11	1	2123.552955	1	-0.006926	0.2
12	1	2123.552955	2	-0.007911	0.3
13	1	2123.552955	3	-0.008507	0.4
14	1	2123.552955	4	-0.009039	0.5
15	1	2123.552955	5	-0.009616	0.6
16	1	2123.552955	6	-0.010500	0.7
17	1	2123.552955	7	-0.011260	0.8
18	1	2123.552955	8	-0.012248	0.9
19	1	2123.552955	9	-0.012872	1
20	2	2335.908250	0	-0.012977	0.1
21	2	2335.908250	1	-0.012977	0.2
22	2	2335.908250	2	-0.013099	0.3
23	2	2335.908250	3	-0.013334	0.4
24	2	2335.908250	4	-0.013740	0.5
25	2	2335.908250	5	-0.014011	0.6
26	2	2335.908250	6	-0.015000	0.7
27	2	2335.908250	7	-0.015621	0.8
28	2	2335.908250	8	-0.015806	0.9
29	2	2335.908250	9	-0.015806	1
30	3	2569.499075	0	-0.015874	0.1
31	3	2569.499075	1	-0.016559	0.2
32	3	2569.499075	2	-0.016970	0.3
33	3	2569.499075	3	-0.017353	0.4
34	3	2569.499075	4	-0.018315	0.5
35	3	2569.499075	5	-0.018855	0.6
36	3	2569.499075	6	-0.018855	0.7
37	3	2569.499075	7	-0.019784	0.8
38	3	2569.499075	8	-0.020347	0.9
39	3	2569.499075	9	-0.020347	1
40	4	2826.448983	0	-0.020581	0.1
41	4	2826.448983	1	-0.020998	0.2
42	4	2826.448983	2	-0.022203	0.3
43	4	2826.448983	3	-0.022203	0.4
44	4	2826.448983	4	-0.022211	0.5
45	4	2826.448983	5	-0.022270	0.6
46	4	2826.448983	6	-0.023367	0.7
47	4	2826.448983	7	-0.023764	0.8
48	4	2826.448983	8	-0.024789	0.9
49	4	2826.448983	9	-0.024850	1
50	5	3109.093881	0	-0.025154	0.1
51	5	3109.093881	1	-0.026234	0.2
52	5	3109.093881	2	-0.026636	0.3
53	5	3109.093881	3	-0.026636	0.4
54	5	3109.093881	4	-0.027386	0.5
55	5	3109.093881	5	-0.028159	0.6
56	5	3109.093881	6	-0.028753	0.7
57	5	3109.093881	7	-0.028845	0.8
58	5	3109.093881	8	-0.030041	0.9
59	5	3109.093881	9	-0.031307	1
60	6	3420.003269	0	-0.031307	0.1
61	6	3420.003269	1	-0.032374	0.2
62	6	3420.003269	2	-0.032610	0.3
63	6	3420.003269	3	-0.032869	0.4
64	6	3420.003269	4	-0.033990	0.5
65	6	3420.003269	5	-0.035152	0.6
66	6	3420.003269	6	-0.036432	0.7
67	6	3420.003269	7	-0.037655	0.8
68	6	3420.003269	8	-0.038000	0.9
69	6	3420.003269	9	-0.038001	1
70	7	3762.003596	0	-0.039145	0.1
71	7	3762.003596	1	-0.039183	0.2
72	7	3762.003596	2	-0.039532	0.3
73	7	3762.003596	3	-0.040625	0.4
74	7	3762.003596	4	-0.041700	0.5
75	7	3762.003596	5	-0.042255	0.6
76	7	3762.003596	6	-0.042588	0.7
77	7	3762.003596	7	-0.042735	0.8
78	7	3762.003596	8	-0.043129	0.9
79	7	3762.003596	9	-0.043170	1
80	8	4138.203955	0	-0.043652	0.1
81	8	4138.203955	1	-0.044979	0.2
82	8	4138.203955	2	-0.045797	0.3
83	8	4138.203955	3	-0.046344	0.4
84	8	4138.203955	4	-0.046344	0.5
85	8	4138.203955	5	-0.046344	0.6
86	8	4138.203955	6	-0.046344	0.7
87	8	4138.203955	7	-0.046344	0.8
88	8	4138.203955	8	-0.046872	0.9
89	8	4138.203955	9	-0.046988	1
90	9	4552.024351	0	-0.047091	0.1
91	9	4552.024351	1	-0.047379	0.2
92	9	4552.024351	2	-0.048899	0.3
93	9	4552.024351	3	-0.050062	0.4
94	9	4552.024351	4	-0.051243	0.5
95	9	4552.024351	5	-0.051243	0.6
96	9	4552.024351	6	-0.052320	0.7
97	9	4552.024351	7	-0.053220	0.8
98	9	4552.024351	8	-0.054268	0.9
99	9	4552.024351	9	-0.055396	1
