B-idx	Beta	Energy	Acceptance
1	2019.614868	-0.003887	1.000000
2	2221.576355	-0.010180	1.000000
3	2443.733990	-0.014521	1.000000
4	2688.107389	-0.019902	1.000000
5	2956.918128	-0.026804	1.000000
6	3252.609941	-0.033066	1.000000
7	3577.870935	-0.037737	1.000000
8	3935.658028	-0.045841	1.000000
9	4329.223831	-0.051131	1.000000
10	4762.146214	-0.057219	1.000000
11	5238.360836	-0.062788	1.000000
12	5762.196919	-0.068526	1.000000
13	6338.416611	-0.074921	1.000000
14	6972.258272	-0.080284	1.000000
15	7669.484100	-0.085113	1.000000
16	8436.432509	-0.095157	1.000000
17	9280.075760	-0.101977	1.000000
18	10208.083336	-0.111041	1.000000
19	11228.891670	-0.119417	1.000000
20	12351.780837	-0.124507	0.900000
21	13586.958921	-0.129853	1.000000
22	14945.654813	-0.137548	1.000000
23	16440.220294	-0.148087	1.000000
24	18084.242324	-0.157297	1.000000
25	19892.666556	-0.163420	1.000000
26	21881.933212	-0.176288	1.000000
27	24070.126533	-0.189703	1.000000
28	26477.139186	-0.202790	1.000000
29	29124.853105	-0.207766	1.000000
30	32037.338415	-0.223337	1.000000
31	35241.072257	-0.237401	1.000000
32	38765.179482	-0.250591	0.900000
33	42641.697431	-0.260997	1.000000
34	46905.867174	-0.274508	1.000000
35	51596.453891	-0.289141	0.900000
36	56756.099280	-0.297656	0.900000
37	62431.709208	-0.308965	1.000000
38	68674.880129	-0.322872	1.000000
39	75542.368142	-0.352103	1.000000
40	83096.604956	-0.370091	1.000000
41	91406.265452	-0.389101	0.900000
42	100546.891997	-0.409606	1.000000
43	110601.581196	-0.428872	1.000000
44	121661.739316	-0.454203	1.000000
45	133827.913248	-0.461592	0.900000
46	147210.704572	-0.490574	0.900000
47	161931.775030	-0.521777	1.000000
48	178124.952532	-0.536564	1.000000
49	195937.447786	-0.547352	0.900000
50	215531.192564	-0.602367	1.000000
51	237084.311821	-0.620488	0.900000
52	260792.743003	-0.647616	1.000000
53	286872.017303	-0.664464	0.900000
54	315559.219033	-0.696593	1.000000
55	347115.140937	-0.735427	0.900000
56	381826.655030	-0.775455	0.900000
57	420009.320533	-0.819545	1.000000
58	462010.252587	-0.859046	1.000000
59	508211.277845	-0.882516	0.700000
60	559032.405630	-0.921166	0.900000
61	614935.646193	-0.985449	1.000000
62	676429.210812	-1.018710	1.000000
63	744072.131894	-1.040293	0.600000
64	818479.345083	-1.078768	0.900000
65	900327.279591	-1.110356	0.800000
66	990360.007550	-1.157737	0.700000
67	1089396.008305	-1.251745	1.000000
68	1198335.609136	-1.322664	0.900000
69	1318169.170050	-1.364970	0.700000
70	1449986.087055	-1.427786	0.800000
71	1594984.695760	-1.500965	0.800000
72	1754483.165336	-1.556962	0.800000
73	1929931.481870	-1.642461	1.000000
74	2122924.630057	-1.727508	0.700000
75	2335217.093062	-1.776656	0.800000
76	2568738.802368	-1.859377	0.800000
77	2825612.682605	-1.922491	0.800000
78	3108173.950866	-2.026341	0.900000
79	3418991.345952	-2.124845	0.900000
80	3760890.480548	-2.183861	0.500000
81	4136979.528602	-2.255994	0.900000
82	4550677.481463	-2.364723	0.600000
83	5005745.229609	-2.461536	0.900000
84	5506319.752570	-2.615432	0.900000
85	6056951.727827	-2.772238	0.700000
86	6662646.900609	-2.906779	0.800000
87	7328911.590670	-3.032838	1.000000
88	8061802.749737	-3.196842	0.600000
89	8867983.024711	-3.371771	0.900000
90	9754781.327182	-3.431540	0.500000
91	10730259.459900	-3.529775	0.900000
92	11803285.405890	-3.624061	0.700000
93	12983613.946479	-3.751569	0.600000
94	14281975.341127	-3.884925	0.900000
95	15710172.875240	-4.074921	0.700000
96	17281190.162764	-4.185539	0.700000
97	19009309.179040	-4.381296	0.700000
98	20910240.096944	-4.579610	0.800000
99	23001264.106639	-4.622642	0.600000
100	25301390.517303	-4.896428	1.000000
