Line	B-idx	Beta	It-idx	Energy	Acceptance~
0	0	2019.614868	0	-0.000451	0.1
1	0	2019.614868	1	-0.000745	0.2
2	0	2019.614868	2	-0.000873	0.3
3	0	2019.614868	3	-0.001539	0.4
4	0	2019.614868	4	-0.001565	0.5
5	0	2019.614868	5	-0.002326	0.6
6	0	2019.614868	6	-0.002689	0.7
7	0	2019.614868	7	-0.003370	0.8
8	0	2019.614868	8	-0.003378	0.9
9	0	2019.614868	9	-0.003887	1
10	1	2221.576355	0	-0.004840	0.1
11	1	2221.576355	1	-0.005725	0.2
12	1	2221.576355	2	-0.006495	0.3
13	1	2221.576355	3	-0.006795	0.4
14	1	2221.576355	4	-0.007004	0.5
15	1	2221.576355	5	-0.007800	0.6
16	1	2221.576355	6	-0.008480	0.7
17	1	2221.576355	7	-0.009122	0.8
18	1	2221.576355	8	-0.009419	0.9
19	1	2221.576355	9	-0.010180	1
20	2	2443.733990	0	-0.010180	0.1
21	2	2443.733990	1	-0.011008	0.2
22	2	2443.733990	2	-0.011660	0.3
23	2	2443.733990	3	-0.012284	0.4
24	2	2443.733990	4	-0.012463	0.5
25	2	2443.733990	5	-0.012682	0.6
26	2	2443.733990	6	-0.012858	0.7
27	2	2443.733990	7	-0.013419	0.8
28	2	2443.733990	8	-0.014058	0.9
29	2	2443.733990	9	-0.014521	1
30	3	2688.107389	0	-0.014818	0.1
31	3	2688.107389	1	-0.015646	0.2
32	3	2688.107389	2	-0.016241	0.3
33	3	2688.107389	3	-0.016350	0.4
34	3	2688.107389	4	-0.017189	0.5
35	3	2688.107389	5	-0.017873	0.6
36	3	2688.107389	6	-0.018577	0.7
37	3	2688.107389	7	-0.018577	0.8
38	3	2688.107389	8	-0.019225	0.9
39	3	2688.107389	9	-0.019902	1
40	4	2956.918128	0	-0.020855	0.1
41	4	2956.918128	1	-0.022022	0.2
42	4	2956.918128	2	-0.022431	0.3
43	4	2956.918128	3	-0.022667	0.4
44	4	2956.918128	4	-0.023583	0.5
45	4	2956.918128	5	-0.024442	0.6
46	4	2956.918128	6	-0.025068	0.7
47	4	2956.918128	7	-0.025836	0.8
48	4	2956.918128	8	-0.025942	0.9
49	4	2956.918128	9	-0.026804	1
50	5	3252.609941	0	-0.027805	0.1
51	5	3252.609941	1	-0.028643	0.2
52	5	3252.609941	2	-0.029265	0.3
53	5	3252.609941	3	-0.029582	0.4
54	5	3252.609941	4	-0.030670	0.5
55	5	3252.609941	5	-0.031387	0.6
56	5	3252.609941	6	-0.031387	0.7
57	5	3252.609941	7	-0.031476	0.8
58	5	3252.609941	8	-0.032171	0.9
59	5	3252.609941	9	-0.033066	1
60	6	3577.870935	0	-0.033811	0.1
61	6	3577.870935	1	-0.033811	0.2
62	6	3577.870935	2	-0.033907	0.3
63	6	3577.870935	3	-0.034587	0.4
64	6	3577.870935	4	-0.035491	0.5
65	6	3577.870935	5	-0.035609	0.6
