B-idx	Beta	Energy	Acceptance
1	1998.761603	-0.253888	0.994000
2	2198.637763	-0.436164	0.982000
3	2418.501539	-0.603573	0.981000
4	2660.351693	-0.750248	0.962000
5	2926.386863	-0.912385	0.951000
6	3219.025549	-1.040820	0.945000
7	3540.928104	-1.200170	0.920000
8	3895.020914	-1.367078	0.933000
9	4284.523006	-1.528510	0.927000
10	4712.975306	-1.680026	0.894000
11	5184.272837	-1.832120	0.883000
12	5702.700121	-2.009414	0.892000
13	6272.970133	-2.196883	0.885000
14	6900.267146	-2.371934	0.860000
15	7590.293861	-2.582004	0.864000
16	8349.323247	-2.777183	0.853000
17	9184.255571	-2.983920	0.826000
18	10102.681129	-3.174141	0.807000
19	11112.949241	-3.404872	0.819000
20	12224.244166	-3.657972	0.816000
21	13446.668582	-3.901719	0.787000
22	14791.335440	-4.146161	0.779000
23	16270.468984	-4.414884	0.763000
24	17897.515883	-4.682739	0.724000
25	19687.267471	-4.950993	0.705000
26	21655.994218	-5.298287	0.706000
27	23821.593640	-5.596726	0.676000
28	26203.753004	-5.885686	0.680000
29	28824.128304	-6.223991	0.651000
30	31706.541135	-6.576433	0.634000
31	34877.195248	-6.946038	0.613000
32	38364.914773	-7.352117	0.621000
33	42201.406250	-7.805732	0.583000
34	46421.546875	-8.178871	0.575000
35	51063.701563	-8.649657	0.577000
36	56170.071719	-9.140413	0.568000
37	61787.078891	-9.651199	0.563000
38	67965.786780	-10.124619	0.532000
39	74762.365458	-10.615314	0.535000
40	82238.602004	-11.211088	0.545000
41	90462.462205	-11.767955	0.503000
42	99508.708425	-12.405826	0.517000
43	109459.579268	-12.997274	0.486000
44	120405.537194	-13.547465	0.512000
45	132446.090914	-14.108909	0.498000
46	145690.700005	-14.607696	0.493000
47	160259.770006	-15.144648	0.526000
48	176285.747006	-15.626205	0.461000
49	193914.321707	-16.122521	0.510000
50	213305.753878	-16.577377	0.511000
51	234636.329265	-17.072059	0.497000
52	258099.962192	-17.500571	0.460000
53	283909.958411	-17.988486	0.495000
54	312300.954252	-18.361351	0.474000
55	343531.049677	-18.762906	0.524000
56	377884.154645	-19.169663	0.486000
57	415672.570110	-19.571372	0.486000
58	457239.827120	-19.917447	0.452000
59	502963.809833	-20.231340	0.506000
60	553260.190816	-20.573193	0.485000
61	608586.209897	-20.908265	0.481000
62	669444.830887	-21.171724	0.495000
63	736389.313976	-21.448499	0.475000
64	810028.245373	-21.704908	0.495000
65	891031.069911	-21.928583	0.466000
66	980134.176902	-22.163960	0.455000
67	1078147.594592	-22.406920	0.511000
68	1185962.354051	-22.643450	0.475000
69	1304558.589456	-22.823858	0.463000
70	1435014.448402	-23.029642	0.509000
71	1578515.893242	-23.219640	0.479000
72	1736367.482566	-23.410762	0.465000
73	1910004.230823	-23.588216	0.486000
74	2101004.653905	-23.779319	0.488000
75	2311105.119296	-23.930103	0.462000
76	2542215.631225	-24.080673	0.486000
77	2796437.194348	-24.231249	0.486000
78	3076080.913783	-24.371827	0.498000
79	3383689.005161	-24.501308	0.500000
80	3722057.905677	-24.619452	0.496000
81	4094263.696245	-24.741824	0.492000
82	4503690.065869	-24.844961	0.438000
83	4954059.072456	-24.940988	0.478000
84	5449464.979702	-25.034714	0.481000
85	5994411.477672	-25.121070	0.465000
86	6593852.625439	-25.207044	0.485000
87	7253237.887983	-25.279645	0.457000
88	7978561.676782	-25.352592	0.462000
89	8776417.844460	-25.421027	0.495000
90	9654059.628906	-25.486984	0.490000
91	10619465.591796	-25.546908	0.481000
92	11681412.150976	-25.607671	0.492000
93	12849553.366074	-25.668263	0.471000
94	14134508.702681	-25.719563	0.467000
95	15547959.572949	-25.769954	0.467000
96	17102755.530244	-25.814684	0.479000
97	18813031.083268	-25.859665	0.468000
98	20694334.191595	-25.905347	0.488000
99	22763767.610755	-25.953194	0.508000
100	25040144.371830	-25.996954	0.466000
