Line	B-idx	Beta	It-idx	Energy	Acceptance~
126	1	2273.718382	26	-0.058079	0.27
127	1	2273.718382	27	-0.058079	0.28
128	1	2273.718382	28	-0.058145	0.29
129	1	2273.718382	29	-0.058145	0.3
130	1	2273.718382	30	-0.058145	0.31
131	1	2273.718382	31	-0.058145	0.32
132	1	2273.718382	32	-0.058512	0.33
133	1	2273.718382	33	-0.059462	0.34
134	1	2273.718382	34	-0.059486	0.35
135	1	2273.718382	35	-0.059735	0.36
136	1	2273.718382	36	-0.059735	0.37
137	1	2273.718382	37	-0.060062	0.38
138	1	2273.718382	38	-0.060961	0.39
139	1	2273.718382	39	-0.061729	0.4
140	1	2273.718382	40	-0.061729	0.41
141	1	2273.718382	41	-0.061868	0.42
142	1	2273.718382	42	-0.062456	0.43
143	1	2273.718382	43	-0.062756	0.44
144	1	2273.718382	44	-0.063433	0.45
145	1	2273.718382	45	-0.064375	0.46
146	1	2273.718382	46	-0.065119	0.47
147	1	2273.718382	47	-0.065378	0.48
148	1	2273.718382	48	-0.065712	0.49
149	1	2273.718382	49	-0.065713	0.5
150	1	2273.718382	50	-0.066644	0.51
151	1	2273.718382	51	-0.067524	0.52
152	1	2273.718382	52	-0.068104	0.53
153	1	2273.718382	53	-0.068232	0.54
154	1	2273.718382	54	-0.068233	0.55
155	1	2273.718382	55	-0.068357	0.56
156	1	2273.718382	56	-0.068524	0.57
157	1	2273.718382	57	-0.069445	0.58
158	1	2273.718382	58	-0.070355	0.59
159	1	2273.718382	59	-0.070665	0.6
160	1	2273.718382	60	-0.071424	0.61
161	1	2273.718382	61	-0.071549	0.62
162	1	2273.718382	62	-0.072132	0.63
163	1	2273.718382	63	-0.072132	0.64
164	1	2273.718382	64	-0.072453	0.65
165	1	2273.718382	65	-0.073134	0.66
166	1	2273.718382	66	-0.073134	0.67
167	1	2273.718382	67	-0.073524	0.68
168	1	2273.718382	68	-0.074302	0.69
169	1	2273.718382	69	-0.074831	0.7
170	1	2273.718382	70	-0.075165	0.71
171	1	2273.718382	71	-0.075941	0.72
172	1	2273.718382	72	-0.076286	0.73
173	1	2273.718382	73	-0.077277	0.74
174	1	2273.718382	74	-0.077277	0.75
175	1	2273.718382	75	-0.077533	0.76
176	1	2273.718382	76	-0.078430	0.77
177	1	2273.718382	77	-0.079012	0.78
178	1	2273.718382	78	-0.079012	0.79
179	1	2273.718382	79	-0.079942	0.8
180	1	2273.718382	80	-0.079942	0.81
181	1	2273.718382	81	-0.080511	0.82
182	1	2273.718382	82	-0.080511	0.83
183	1	2273.718382	83	-0.081313	0.84
184	1	2273.718382	84	-0.081864	0.85
185	1	2273.718382	85	-0.081946	0.86
186	1	2273.718382	86	-0.081973	0.87
187	1	2273.718382	87	-0.082386	0.88
188	1	2273.718382	88	-0.082386	0.89
189	1	2273.718382	89	-0.082386	0.9
190	1	2273.718382	90	-0.082543	0.91
191	1	2273.718382	91	-0.083048	0.92
192	1	2273.718382	92	-0.083047	0.93
193	1	2273.718382	93	-0.084000	0.94
194	1	2273.718382	94	-0.084000	0.95
195	1	2273.718382	95	-0.084066	0.96
196	1	2273.718382	96	-0.084773	0.97
197	1	2273.718382	97	-0.085339	0.98
198	1	2273.718382	98	-0.085502	0.99
199	1	2273.718382	99	-0.086005	1
200	2	2501.090221	0	-0.086356	0.01
201	2	2501.090221	1	-0.086873	0.02
202	2	2501.090221	2	-0.087052	0.03
203	2	2501.090221	3	-0.087416	0.04
204	2	2501.090221	4	-0.088412	0.05
205	2	2501.090221	5	-0.088832	0.06
206	2	2501.090221	6	-0.089547	0.07
207	2	2501.090221	7	-0.089546	0.08
208	2	2501.090221	8	-0.089978	0.09
209	2	2501.090221	9	-0.090413	0.1
210	2	2501.090221	10	-0.090413	0.11
211	2	2501.090221	11	-0.090951	0.12
212	2	2501.090221	12	-0.091840	0.13
213	2	2501.090221	13	-0.091840	0.14
214	2	2501.090221	14	-0.092013	0.15
215	2	2501.090221	15	-0.092565	0.16
216	2	2501.090221	16	-0.093654	0.17
217	2	2501.090221	17	-0.094496	0.18
218	2	2501.090221	18	-0.094496	0.19
219	2	2501.090221	19	-0.095350	0.2
220	2	2501.090221	20	-0.095351	0.21
221	2	2501.090221	21	-0.096176	0.22
222	2	2501.090221	22	-0.096176	0.23
223	2	2501.090221	23	-0.096906	0.24
224	2	2501.090221	24	-0.096908	0.25
225	2	2501.090221	25	-0.097901	0.26
226	2	2501.090221	26	-0.097970	0.27
227	2	2501.090221	27	-0.098053	0.28
228	2	2501.090221	28	-0.098157	0.29
229	2	2501.090221	29	-0.098879	0.3
230	2	2501.090221	30	-0.098940	0.31
231	2	2501.090221	31	-0.098940	0.32
232	2	2501.090221	32	-0.099808	0.33
233	2	2501.090221	33	-0.100799	0.34
234	2	2501.090221	34	-0.101040	0.35
235	2	2501.090221	35	-0.101839	0.36
236	2	2501.090221	36	-0.101839	0.37
237	2	2501.090221	37	-0.102569	0.38
238	2	2501.090221	38	-0.103039	0.39
239	2	2501.090221	39	-0.103039	0.4
240	2	2501.090221	40	-0.103983	0.41
241	2	2501.090221	41	-0.103983	0.42
242	2	2501.090221	42	-0.103983	0.43
243	2	2501.090221	43	-0.103983	0.44
244	2	2501.090221	44	-0.104484	0.45
245	2	2501.090221	45	-0.104484	0.46
246	2	2501.090221	46	-0.105396	0.47
247	2	2501.090221	47	-0.105396	0.48
248	2	2501.090221	48	-0.105396	0.49
249	2	2501.090221	49	-0.105890	0.5
250	2	2501.090221	50	-0.106277	0.51
251	2	2501.090221	51	-0.106277	0.52
252	2	2501.090221	52	-0.106590	0.53
253	2	2501.090221	53	-0.106590	0.54
254	2	2501.090221	54	-0.106590	0.55
255	2	2501.090221	55	-0.107262	0.56
256	2	2501.090221	56	-0.107916	0.57
257	2	2501.090221	57	-0.107916	0.58
258	2	2501.090221	58	-0.108328	0.59
259	2	2501.090221	59	-0.108828	0.6
260	2	2501.090221	60	-0.108828	0.61
261	2	2501.090221	61	-0.108875	0.62
262	2	2501.090221	62	-0.108875	0.63
263	2	2501.090221	63	-0.109738	0.64
264	2	2501.090221	64	-0.110311	0.65
265	2	2501.090221	65	-0.110662	0.66
266	2	2501.090221	66	-0.111136	0.67
267	2	2501.090221	67	-0.111137	0.68
268	2	2501.090221	68	-0.111137	0.69
269	2	2501.090221	69	-0.111572	0.7
270	2	2501.090221	70	-0.112226	0.71
271	2	2501.090221	71	-0.112226	0.72
272	2	2501.090221	72	-0.112226	0.73
273	2	2501.090221	73	-0.112255	0.74
274	2	2501.090221	74	-0.112822	0.75
275	2	2501.090221	75	-0.113123	0.76
276	2	2501.090221	76	-0.113710	0.77
277	2	2501.090221	77	-0.114257	0.78
278	2	2501.090221	78	-0.114778	0.79
279	2	2501.090221	79	-0.115214	0.8
280	2	2501.090221	80	-0.116268	0.81
281	2	2501.090221	81	-0.116820	0.82
282	2	2501.090221	82	-0.116821	0.83
283	2	2501.090221	83	-0.117770	0.84
284	2	2501.090221	84	-0.117804	0.85
285	2	2501.090221	85	-0.117804	0.86
286	2	2501.090221	86	-0.118670	0.87
287	2	2501.090221	87	-0.118670	0.88
288	2	2501.090221	88	-0.119661	0.89
289	2	2501.090221	89	-0.120504	0.9
290	2	2501.090221	90	-0.120963	0.91
291	2	2501.090221	91	-0.121469	0.92
292	2	2501.090221	92	-0.121469	0.93
293	2	2501.090221	93	-0.121770	0.94
294	2	2501.090221	94	-0.121770	0.95
295	2	2501.090221	95	-0.122834	0.96
296	2	2501.090221	96	-0.122834	0.97
297	2	2501.090221	97	-0.123312	0.98
298	2	2501.090221	98	-0.123422	0.99
299	2	2501.090221	99	-0.123422	1
300	3	2751.199243	0	-0.123831	0.01
301	3	2751.199243	1	-0.124888	0.02
302	3	2751.199243	2	-0.125711	0.03
303	3	2751.199243	3	-0.126335	0.04
304	3	2751.199243	4	-0.127222	0.05
305	3	2751.199243	5	-0.127221	0.06
306	3	2751.199243	6	-0.127837	0.07
307	3	2751.199243	7	-0.127837	0.08
308	3	2751.199243	8	-0.127837	0.09
309	3	2751.199243	9	-0.127837	0.1
310	3	2751.199243	10	-0.127837	0.11
311	3	2751.199243	11	-0.127865	0.12
312	3	2751.199243	12	-0.128225	0.13
313	3	2751.199243	13	-0.128225	0.14
314	3	2751.199243	14	-0.128225	0.15
315	3	2751.199243	15	-0.128225	0.16
316	3	2751.199243	16	-0.129129	0.17
317	3	2751.199243	17	-0.130175	0.18
318	3	2751.199243	18	-0.130666	0.19
319	3	2751.199243	19	-0.131544	0.2
320	3	2751.199243	20	-0.131544	0.21
321	3	2751.199243	21	-0.131544	0.22
322	3	2751.199243	22	-0.131543	0.23
323	3	2751.199243	23	-0.131722	0.24
324	3	2751.199243	24	-0.131721	0.25
325	3	2751.199243	25	-0.132146	0.26
326	3	2751.199243	26	-0.132146	0.27
327	3	2751.199243	27	-0.132146	0.28
328	3	2751.199243	28	-0.132147	0.29
329	3	2751.199243	29	-0.132147	0.3
330	3	2751.199243	30	-0.132386	0.31
331	3	2751.199243	31	-0.132409	0.32
332	3	2751.199243	32	-0.132409	0.32
333	3	2751.199243	33	-0.133427	0.33
334	3	2751.199243	34	-0.133427	0.34
335	3	2751.199243	35	-0.133848	0.35
336	3	2751.199243	36	-0.133849	0.36
337	3	2751.199243	37	-0.134480	0.37
338	3	2751.199243	38	-0.135278	0.38
339	3	2751.199243	39	-0.135278	0.39
340	3	2751.199243	40	-0.136199	0.4
341	3	2751.199243	41	-0.136198	0.41
342	3	2751.199243	42	-0.136198	0.42
343	3	2751.199243	43	-0.136198	0.43
344	3	2751.199243	44	-0.137296	0.44
345	3	2751.199243	45	-0.137297	0.45
346	3	2751.199243	46	-0.137297	0.46
347	3	2751.199243	47	-0.137297	0.47
348	3	2751.199243	48	-0.137297	0.48
349	3	2751.199243	49	-0.137296	0.49
350	3	2751.199243	50	-0.137296	0.5
351	3	2751.199243	51	-0.137296	0.51
352	3	2751.199243	52	-0.137484	0.52
353	3	2751.199243	53	-0.137965	0.53
354	3	2751.199243	54	-0.138138	0.54
355	3	2751.199243	55	-0.138138	0.55
356	3	2751.199243	56	-0.138391	0.56
357	3	2751.199243	57	-0.138391	0.57
358	3	2751.199243	58	-0.138391	0.58
359	3	2751.199243	59	-0.138905	0.59
360	3	2751.199243	60	-0.138943	0.6
361	3	2751.199243	61	-0.139626	0.61
362	3	2751.199243	62	-0.139626	0.62
363	3	2751.199243	63	-0.140407	0.63
364	3	2751.199243	64	-0.140754	0.64
365	3	2751.199243	65	-0.141739	0.65
366	3	2751.199243	66	-0.141739	0.66
367	3	2751.199243	67	-0.142419	0.67
368	3	2751.199243	68	-0.143266	0.68
369	3	2751.199243	69	-0.143266	0.69
370	3	2751.199243	70	-0.143266	0.7
371	3	2751.199243	71	-0.143266	0.71
372	3	2751.199243	72	-0.143266	0.72
373	3	2751.199243	73	-0.143266	0.73
374	3	2751.199243	74	-0.143927	0.74
375	3	2751.199243	75	-0.144591	0.75
376	3	2751.199243	76	-0.144591	0.76
377	3	2751.199243	77	-0.145011	0.77
378	3	2751.199243	78	-0.146093	0.78
379	3	2751.199243	79	-0.146093	0.79
380	3	2751.199243	80	-0.146405	0.8
381	3	2751.199243	81	-0.146410	0.81
382	3	2751.199243	82	-0.146410	0.82
383	3	2751.199243	83	-0.147032	0.83
384	3	2751.199243	84	-0.147032	0.84
385	3	2751.199243	85	-0.147205	0.85
386	3	2751.199243	86	-0.147692	0.86
387	3	2751.199243	87	-0.147692	0.87
388	3	2751.199243	88	-0.147692	0.88
389	3	2751.199243	89	-0.148493	0.89
390	3	2751.199243	90	-0.148493	0.9
391	3	2751.199243	91	-0.149264	0.91
392	3	2751.199243	92	-0.149264	0.92
393	3	2751.199243	93	-0.149348	0.93
394	3	2751.199243	94	-0.149879	0.94
395	3	2751.199243	95	-0.149879	0.95
396	3	2751.199243	96	-0.150619	0.96
397	3	2751.199243	97	-0.151067	0.97
398	3	2751.199243	98	-0.151067	0.98
399	3	2751.199243	99	-0.151067	0.99
400	4	3026.319167	0	-0.151068	0.01
401	4	3026.319167	1	-0.151068	0.02
402	4	3026.319167	2	-0.151068	0.03
403	4	3026.319167	3	-0.151142	0.04
404	4	3026.319167	4	-0.151902	0.05
405	4	3026.319167	5	-0.151902	0.06
406	4	3026.319167	6	-0.152535	0.07
407	4	3026.319167	7	-0.152535	0.08
408	4	3026.319167	8	-0.152535	0.09
409	4	3026.319167	9	-0.152535	0.1
410	4	3026.319167	10	-0.152536	0.11
411	4	3026.319167	11	-0.153578	0.12
412	4	3026.319167	12	-0.153578	0.13
413	4	3026.319167	13	-0.154298	0.14
414	4	3026.319167	14	-0.154875	0.15
415	4	3026.319167	15	-0.154876	0.16
416	4	3026.319167	16	-0.155339	0.17
417	4	3026.319167	17	-0.155339	0.18
418	4	3026.319167	18	-0.155339	0.19
419	4	3026.319167	19	-0.155339	0.2
420	4	3026.319167	20	-0.156369	0.21
421	4	3026.319167	21	-0.156369	0.22
422	4	3026.319167	22	-0.156369	0.23
423	4	3026.319167	23	-0.156538	0.24
424	4	3026.319167	24	-0.156617	0.25
425	4	3026.319167	25	-0.157674	0.26
426	4	3026.319167	26	-0.158523	0.27
427	4	3026.319167	27	-0.158523	0.28
428	4	3026.319167	28	-0.158944	0.29
429	4	3026.319167	29	-0.158944	0.3
430	4	3026.319167	30	-0.158944	0.31
431	4	3026.319167	31	-0.158943	0.32
432	4	3026.319167	32	-0.158943	0.33
433	4	3026.319167	33	-0.158944	0.34
434	4	3026.319167	34	-0.158944	0.35
435	4	3026.319167	35	-0.158944	0.36
436	4	3026.319167	36	-0.158944	0.37
437	4	3026.319167	37	-0.159741	0.38
438	4	3026.319167	38	-0.159740	0.39
439	4	3026.319167	39	-0.159739	0.4
440	4	3026.319167	40	-0.160581	0.41
441	4	3026.319167	41	-0.161621	0.42
442	4	3026.319167	42	-0.161621	0.43
443	4	3026.319167	43	-0.162788	0.44
444	4	3026.319167	44	-0.162788	0.45
445	4	3026.319167	45	-0.162778	0.46
446	4	3026.319167	46	-0.163851	0.47
447	4	3026.319167	47	-0.163889	0.48
448	4	3026.319167	48	-0.164525	0.49
449	4	3026.319167	49	-0.164526	0.5
450	4	3026.319167	50	-0.164592	0.51
451	4	3026.319167	51	-0.165510	0.52
452	4	3026.319167	52	-0.165510	0.53
453	4	3026.319167	53	-0.166310	0.54
454	4	3026.319167	54	-0.166751	0.55
455	4	3026.319167	55	-0.167621	0.56
456	4	3026.319167	56	-0.167621	0.57
457	4	3026.319167	57	-0.167621	0.58
458	4	3026.319167	58	-0.168359	0.59
459	4	3026.319167	59	-0.168580	0.6
460	4	3026.319167	60	-0.168580	0.61
461	4	3026.319167	61	-0.168579	0.62
462	4	3026.319167	62	-0.168579	0.63
463	4	3026.319167	63	-0.169145	0.64
464	4	3026.319167	64	-0.169145	0.65
465	4	3026.319167	65	-0.170148	0.66
466	4	3026.319167	66	-0.170148	0.67
467	4	3026.319167	67	-0.170304	0.68
468	4	3026.319167	68	-0.170864	0.69
469	4	3026.319167	69	-0.171039	0.7
470	4	3026.319167	70	-0.171039	0.71
471	4	3026.319167	71	-0.171959	0.72
472	4	3026.319167	72	-0.172842	0.73
473	4	3026.319167	73	-0.172843	0.74
474	4	3026.319167	74	-0.172924	0.75
475	4	3026.319167	75	-0.172924	0.76
476	4	3026.319167	76	-0.173426	0.77
477	4	3026.319167	77	-0.174264	0.78
478	4	3026.319167	78	-0.174282	0.79
479	4	3026.319167	79	-0.175297	0.8
480	4	3026.319167	80	-0.175955	0.81
481	4	3026.319167	81	-0.175955	0.82
482	4	3026.319167	82	-0.176016	0.83
483	4	3026.319167	83	-0.177038	0.84
484	4	3026.319167	84	-0.177039	0.85
485	4	3026.319167	85	-0.177039	0.86
486	4	3026.319167	86	-0.177039	0.87
487	4	3026.319167	87	-0.177761	0.88
488	4	3026.319167	88	-0.178352	0.89
489	4	3026.319167	89	-0.178352	0.9
490	4	3026.319167	90	-0.179242	0.91
491	4	3026.319167	91	-0.179417	0.92
492	4	3026.319167	92	-0.180403	0.93
493	4	3026.319167	93	-0.180935	0.94
494	4	3026.319167	94	-0.180935	0.95
495	4	3026.319167	95	-0.180936	0.96
496	4	3026.319167	96	-0.180937	0.97
497	4	3026.319167	97	-0.180937	0.98
498	4	3026.319167	98	-0.180937	0.99
499	4	3026.319167	99	-0.181818	1
500	5	3328.951084	0	-0.181818	0.01
501	5	3328.951084	1	-0.182444	0.02
502	5	3328.951084	2	-0.182443	0.03
503	5	3328.951084	3	-0.183334	0.04
504	5	3328.951084	4	-0.184014	0.05
505	5	3328.951084	5	-0.184305	0.06
506	5	3328.951084	6	-0.184305	0.07
507	5	3328.951084	7	-0.185252	0.08
508	5	3328.951084	8	-0.185250	0.09
509	5	3328.951084	9	-0.186487	0.1
510	5	3328.951084	10	-0.186968	0.11
511	5	3328.951084	11	-0.186968	0.11
512	5	3328.951084	12	-0.186968	0.12
