B-idx	It-idx	Energy	Acceptance~
0	0	-0.000523098	0.1
0	1	-0.000580367	0.2
0	2	-0.00100781	0.3
0	3	-0.0015694	0.4
0	4	-0.00216724	0.5
0	5	-0.00311488	0.6
0	6	-0.00351396	0.7
0	7	-0.00423482	0.8
0	8	-0.00480386	0.9
0	9	-0.00561451	1
1	0	-0.00571331	0.1
1	1	-0.00653465	0.2
1	2	-0.00701751	0.3
1	3	-0.00791823	0.4
1	4	-0.00819449	0.5
1	5	-0.00905149	0.6
1	6	-0.0100399	0.7
1	7	-0.0106177	0.8
1	8	-0.0112074	0.9
1	9	-0.0121506	1
2	0	-0.0121506	0.1
2	1	-0.0129763	0.2
2	2	-0.0134511	0.3
2	3	-0.0143331	0.4
2	4	-0.0154086	0.5
2	5	-0.0158475	0.6
2	6	-0.0165759	0.7
2	7	-0.0175646	0.8
2	8	-0.0183859	0.9
2	9	-0.0187746	1
3	0	-0.0197163	0.1
3	1	-0.0208395	0.2
3	2	-0.0215528	0.3
3	3	-0.0221512	0.4
3	4	-0.0224758	0.5
3	5	-0.0226122	0.6
3	6	-0.0231707	0.7
3	7	-0.0240818	0.8
3	8	-0.0252252	0.9
3	9	-0.0262906	1
4	0	-0.0267982	0.1
4	1	-0.0279205	0.2
4	2	-0.0287003	0.3
4	3	-0.0294593	0.4
4	4	-0.0303224	0.5
4	5	-0.0307268	0.6
4	6	-0.0312767	0.7
4	7	-0.0312767	0.8
4	8	-0.032132	0.9
4	9	-0.0322308	1
5	0	-0.032387	0.1
5	1	-0.0323897	0.2
5	2	-0.0325747	0.3
5	3	-0.0329172	0.4
5	4	-0.034054	0.5
5	5	-0.035006	0.6
5	6	-0.0355609	0.7
5	7	-0.036382	0.8
5	8	-0.0374724	0.9
5	9	-0.0382295	1
6	0	-0.0393704	0.1
6	1	-0.0402964	0.2
6	2	-0.0416118	0.3
6	3	-0.0416119	0.4
6	4	-0.0424054	0.5
6	5	-0.0432932	0.6
6	6	-0.0438579	0.7
6	7	-0.0438579	0.8
6	8	-0.0439512	0.9
6	9	-0.0440544	1
7	0	-0.0440544	0.1
7	1	-0.0452178	0.2
7	2	-0.0456773	0.3
7	3	-0.046614	0.4
7	4	-0.0476369	0.5
7	5	-0.047938	0.6
7	6	-0.0483177	0.7
7	7	-0.0483178	0.8
7	8	-0.0490314	0.9
7	9	-0.0495634	1
8	0	-0.0496496	0.1
8	1	-0.0500786	0.2
8	2	-0.0508357	0.3
8	3	-0.0520156	0.4
8	4	-0.0524535	0.5
8	5	-0.052731	0.6
8	6	-0.052731	0.7
8	7	-0.052731	0.8
8	8	-0.0529405	0.9
8	9	-0.0529405	1
9	0	-0.0539742	0.1
9	1	-0.0547221	0.2
9	2	-0.0547221	0.3
9	3	-0.0557601	0.4
9	4	-0.0571695	0.5
9	5	-0.0571695	0.6
9	6	-0.0581966	0.7
9	7	-0.0587168	0.8
9	8	-0.0596225	0.9
9	9	-0.0596225	1
