epoch	loss
1	6.931471805599470e-01
2	1.949648535382243e-01
3	1.508120071756405e-01
4	1.288542888781981e-01
5	1.154422025876555e-01
6	1.063333252241121e-01
7	9.972250600467546e-02
8	9.469881831644619e-02
9	9.074907609154223e-02
10	8.756077064537518e-02
11	8.493218664969245e-02
12	8.272708183345186e-02
13	8.085002560659731e-02
14	7.923214665442609e-02
15	7.782248358021471e-02
16	7.658251872410587e-02
17	7.548260345901521e-02
18	7.449955099339362e-02
19	7.361497373661545e-02
20	7.281410916315964e-02
21	7.208497425133373e-02
22	7.141774584826642e-02
23	7.080429945955583e-02
24	7.023786110323767e-02
25	6.971274114768583e-02
26	6.922412845975927e-02
27	6.876792950584357e-02
28	6.834064136420617e-02
29	6.793925060325377e-02
30	6.756115209093884e-02
31	6.720408330755619e-02
32	6.686607082361880e-02
33	6.654538640121083e-02
34	6.624051076613574e-02
35	6.595010353784947e-02
36	6.567297813551554e-02
37	6.540808073039685e-02
38	6.515447250786302e-02
39	6.491131465140736e-02
40	6.467785557708564e-02
41	6.445342003767110e-02
42	6.423739978748261e-02
43	6.402924555568439e-02
44	6.382846012122521e-02
45	6.363459231897384e-02
46	6.344723183596777e-02
47	6.326600468048946e-02
48	6.309056922606610e-02
49	6.292061274834690e-02
50	6.275584838584747e-02
51	6.259601246630181e-02
52	6.244086214927537e-02
53	6.229017334309820e-02
54	6.214373886036566e-02
55	6.200136678143212e-02
56	6.186287899967853e-02
57	6.172810992600242e-02
58	6.159690533308870e-02
59	6.146912132264895e-02
60	6.134462340106007e-02
61	6.122328565074544e-02
62	6.110498998627645e-02
63	6.098962548557495e-02
64	6.087708778780437e-02
65	6.076727855057700e-02
66	6.066010496000276e-02
67	6.055547928788214e-02
68	6.045331849102320e-02
69	6.035354384824831e-02
70	6.025608063116734e-02
71	6.016085780524355e-02
72	6.006780775806615e-02
73	5.997686605209002e-02
74	5.988797119940040e-02
75	5.980106445632882e-02
76	5.971608963597722e-02
77	5.963299293691467e-02
78	5.955172278649433e-02
79	5.947222969739710e-02
80	5.939446613615357e-02
81	5.931838640252348e-02
82	5.924394651872360e-02
83	5.917110412759537e-02
84	5.909981839889707e-02
85	5.903004994298035e-02
86	5.896176073118807e-02
87	5.889491402236972e-02
88	5.882947429497344e-02
89	5.876540718422066e-02
90	5.870267942391937e-02
91	5.864125879251177e-02
92	5.858111406299107e-02
93	5.852221495635525e-02
94	5.846453209829554e-02
95	5.840803697884740e-02
96	5.835270191475474e-02
97	5.829850001432023e-02
98	5.824540514453676e-02
99	5.819339190031260e-02
100	5.814243557562015e-02
101	5.809251213641101e-02
102	5.804359819515838e-02
103	5.799567098689557e-02
104	5.794870834663379e-02
105	5.790268868805146e-02
106	5.785759098335741e-02
107	5.781339474423720e-02
108	5.777008000380256e-02
109	5.772762729946758e-02
110	5.768601765668393e-02
111	5.764523257347318e-02
112	5.760525400569762e-02
113	5.756606435301902e-02
114	5.752764644549624e-02
115	5.748998353077805e-02
116	5.745305926185161e-02
117	5.741685768530866e-02
118	5.738136323009693e-02
119	5.734656069672472e-02
120	5.731243524689081e-02
121	5.727897239351365e-02
122	5.724615799113508e-02
123	5.721397822667709e-02
124	5.718241961053173e-02
125	5.715146896796436e-02
126	5.712111343081357e-02
127	5.709134042947242e-02
128	5.706213768513478e-02
129	5.703349320229500e-02
130	5.700539526148715e-02
131	5.697783241225240e-02
132	5.695079346632410e-02
133	5.692426749102036e-02
134	5.689824380283445e-02
135	5.687271196121561e-02
136	5.684766176253012e-02
137	5.682308323419740e-02
138	5.679896662899262e-02
139	5.677530241950951e-02
140	5.675208129277767e-02
141	5.672929414502827e-02
142	5.670693207660242e-02
143	5.668498638699816e-02
144	5.666344857004987e-02
145	5.664231030923621e-02
146	5.662156347311316e-02
147	5.660120011086564e-02
148	5.658121244797732e-02
149	5.656159288201158e-02
150	5.654233397850202e-02
151	5.652342846694932e-02
152	5.650486923691992e-02
153	5.648664933424476e-02
154	5.646876195731466e-02
155	5.645120045346945e-02
156	5.643395831547854e-02
157	5.641702917810981e-02
158	5.640040681478527e-02
159	5.638408513431970e-02
160	5.636805817774183e-02
161	5.635232011519432e-02
162	5.633686524291038e-02
163	5.632168798026678e-02
164	5.630678286690899e-02
165	5.629214455994802e-02
166	5.627776783122611e-02
167	5.626364756465101e-02
168	5.624977875359463e-02
169	5.623615649835697e-02
170	5.622277600369161e-02
171	5.620963257639274e-02
172	5.619672162294100e-02
173	5.618403864720702e-02
174	5.617157924821149e-02
175	5.615933911794033e-02
176	5.614731403921201e-02
177	5.613549988359895e-02
178	5.612389260939782e-02
179	5.611248825965026e-02
180	5.610128296021197e-02
181	5.609027291786828e-02
182	5.607945441849543e-02
183	5.606882382526732e-02
184	5.605837757690511e-02
185	5.604811218596893e-02
186	5.603802423719215e-02
