epoch	loss
123	5.754903323385742e-02
124	5.752770544648773e-02
125	5.750674909633303e-02
126	5.748615731530016e-02
127	5.746592337053835e-02
128	5.744604066137660e-02
129	5.742650271636912e-02
130	5.740730319044145e-02
131	5.738843586213099e-02
132	5.736989463091580e-02
133	5.735167351462646e-02
134	5.733376664693604e-02
135	5.731616827492320e-02
136	5.729887275670501e-02
137	5.728187455913497e-02
138	5.726516825556319e-02
139	5.724874852365563e-02
140	5.723261014326899e-02
141	5.721674799437892e-02
142	5.720115705505922e-02
143	5.718583239950940e-02
144	5.717076919612878e-02
145	5.715596270563504e-02
146	5.714140827922568e-02
147	5.712710135678063e-02
148	5.711303746510423e-02
149	5.709921221620582e-02
150	5.708562130561698e-02
151	5.707226051074472e-02
152	5.705912568925901e-02
153	5.704621277751418e-02
154	5.703351778900263e-02
155	5.702103681284039e-02
156	5.700876601228343e-02
157	5.699670162327388e-02
158	5.698483995301566e-02
159	5.697317737857836e-02
160	5.696171034552912e-02
161	5.695043536659174e-02
162	5.693934902033210e-02
163	5.692844794986963e-02
164	5.691772886161445e-02
165	5.690718852402882e-02
166	5.689682376641333e-02
167	5.688663147771687e-02
168	5.687660860536975e-02
169	5.686675215413980e-02
170	5.685705918501095e-02
171	5.684752681408378e-02
172	5.683815221149740e-02
173	5.682893260037279e-02
174	5.681986525577674e-02
175	5.681094750370591e-02
176	5.680217672009143e-02
177	5.679355032982226e-02
178	5.678506580578857e-02
179	5.677672066794337e-02
180	5.676851248238292e-02
181	5.676043886044537e-02
182	5.675249745782684e-02
183	5.674468597371551e-02
184	5.673700214994222e-02
185	5.672944377014860e-02
186	5.672200865897109e-02
187	5.671469468124158e-02
188	5.670749974120377e-02
189	5.670042178174506e-02
190	5.669345878364397e-02
191	5.668660876483235e-02
192	5.667986977967232e-02
193	5.667323991824796e-02
194	5.666671730567064e-02
195	5.666030010139873e-02
196	5.665398649857064e-02
197	5.664777472335145e-02
198	5.664166303429228e-02
199	5.663564972170291e-02
200	5.662973310703680e-02
201	5.662391154228838e-02
202	5.661818340940267e-02
203	5.661254711969662e-02
204	5.660700111329198e-02
205	5.660154385855984e-02
206	5.659617385157618e-02
207	5.659088961558834e-02
208	5.658568970049234e-02
209	5.658057268232065e-02
210	5.657553716274026e-02
211	5.657058176856095e-02
212	5.656570515125321e-02
213	5.656090598647634e-02
214	5.655618297361537e-02
215	5.655153483532798e-02
216	5.654696031710005e-02
217	5.654245818681030e-02
218	5.653802723430391e-02
219	5.653366627097423e-02
220	5.652937412935330e-02
221	5.652514966271054e-02
222	5.652099174465919e-02
223	5.651689926877114e-02
224	5.651287114819897e-02
225	5.650890631530597e-02
226	5.650500372130332e-02
227	5.650116233589472e-02
228	5.649738114692793e-02
229	5.649365916005345e-02
230	5.648999539838989e-02
231	5.648638890219625e-02
232	5.648283872855026e-02
233	5.647934395103380e-02
234	5.647590365942395e-02
235	5.647251695939062e-02
236	5.646918297219997e-02
237	5.646590083442382e-02
238	5.646266969765483e-02
239	5.645948872822724e-02
240	5.645635710694327e-02
241	5.645327402880475e-02
242	5.645023870275027e-02
243	5.644725035139753e-02
244	5.644430821079047e-02
245	5.644141153015166e-02
246	5.643855957163949e-02
247	5.643575161011027e-02
248	5.643298693288470e-02
249	5.643026483951919e-02
250	5.642758464158151e-02
251	5.642494566243102e-02
252	5.642234723700301e-02
253	5.641978871159724e-02
254	5.641726944367090e-02
255	5.641478880163515e-02
256	5.641234616465609e-02
257	5.640994092245927e-02
258	5.640757247513815e-02
259	5.640524023296616e-02
260	5.640294361621257e-02
261	5.640068205496184e-02
262	5.639845498893641e-02
263	5.639626186732287e-02
264	5.639410214860185e-02
265	5.639197530038063e-02
266	5.638988079922928e-02
267	5.638781813052014e-02
268	5.638578678826987e-02
269	5.638378627498494e-02
270	5.638181610151009e-02
271	5.637987578687922e-02
272	5.637796485816977e-02
273	5.637608285035941e-02
274	5.637422930618557e-02
275	5.637240377600781e-02
276	5.637060581767251e-02
277	5.636883499638044e-02
278	5.636709088455662e-02
279	5.636537306172271e-02
280	5.636368111437172e-02
